incident,case_number,date_reported,date_occurred,location,disposition
Not Occupied,,,,,
Driving While License,9767-GYD,9/20/15 13:40,9/20/15 13:40,1 UNF Dr @ Lot 100,Citation Issued
Suspended or Revoked,,,,,
Petit Theft,2015-0272,9/20/15 12:03,9/19/15 12:00,Bldg 58E,Suspended
Possess Not More 20 grams of marijuana,2015-0271,9/20/15 1:54,9/20/15 1:07,1 UNF Drive,Notice to Appear
Than 20 Grams of,,,,,
Marijuana,,,,,
Grand Theft,2015-0267,9/17/15 10:15,9/16/15 10:41,Bldg 58,Suspended
Criminal Mischief,2015-0266,9/17/15 4:00,9/17/15 3:20,Osprey Hall,Suspended
Assault/Agg/With a,2015-0266,9/17/15 4:00,9/17/15 3:20,Osprey Hall,Cleared by arrest
Deadly Weapon with,,,,,
Intent to Kill,,,,,
Information,2015-0263,9/15/15 9:30,9/15/15 9:30,Bldg 17,Information
,,,,,Report Closed
Petit Theft,2015-0261,9/14/15 15:11,9/14/15 9:30,Lot 5,Suspended
Property-Lost,2015-0260,9/13/15 11:40,9/11/15 20:00,Lot 12,Information
,,,,,Report Closed
Petit Theft,2015-0259,9/11/15 14:30,9/8/15 19:00,Lot 11,Suspended
Petit Theft,2015-0257,9/10/15 15:40,9/10/15 8:30,Garage 44,Suspended
Petit Theft,2015-0256,9/10/15 11:40,9/7/15 12:15,Osprey Cove,Suspended
Driving While License suspended,A0Y4VRP,9/10/15 9:10,9/10/15 9:10,Varsity Ln @ UNF Dr,Citation Issued
Suspended,,,,,
Petit Theft,2015-0255,9/10/15 8:40,9/1/15 17:30,Lot 5,Suspended
Petit Theft,2015-0254,9/9/15 12:29,9/1/15 22:00,Bldg 42,Suspended
Petit Theft,2015-0253,9/8/15 8:31,9/3/15 8:00,Bldg 2,Suspended
Information,2015-0252,9/7/15 11:18,9/7/15 11:18,Bldg 41,Information
,,,,,Report Closed
"Use, or Possess with intent to use drug paraphernalia",2015-0251,9/6/15 16:07,9/6/15 13:55,Lot 55,Notice to Appear
"Intent to Use, Drug",,,,,
Paraphernalia,,,,,
Theft of Motor Vehicle,2015-0250,9/5/15 22:52,9/5/15 20:30,Bldg 38,Open
Property Damaged,2015-0249,9/5/15 8:31,9/5/15 8:31,Bldg 48,Information
,,,,,Report Closed
Information,2015-0248,9/4/15 0:21,9/3/15 22:00,1 UNF Drive,Information
,,,,,Report Closed
Petit Theft,2015-0247,9/3/15 21:46,9/3/15 18:30,Bldg 16,Suspended
Burglary/Structure,2015-0244,9/2/15 12:40,9/2/15 9:30,Osprey Fountains,Suspended
Occupied (No,,,,,
Assault/Battery - No,,,,,
Weapon),,,,,
Possesion of a firearm,2015-0242,9/1/15 15:30,9/1/15 2:00,Osprey Cove,Cleared by arrest
Firearm on School,,,,,
Property,,,,,
Driving While License suspended,9765-GYD,8/25/15 13:50,8/25/15 13:50,1 UNF Dr @ Lot 5,Citation Issued
Suspended or Revoked,,,,,
Driving While License suspended,8125-GMM,8/25/15 10:15,8/25/15 10:15,Varsity Ln @ UNF Dr,Citation Issued
Suspended or Revoked,,,,,
Unlawful Disp of,A0Y4WNP,8/18/15 14:10,8/18/15 14:10,UNF Dr Gar 38,Citation Issued
Handicap Placard,,,,,
No Veh Reg-No tag,A0Y4WDP,8/1/15 14:40,8/1/15 14:40,unf Dr @ Eco Rd,Citation Issued
Assigned,,,,,
No,A0Y4WEP,8/1/15 14:40,8/1/15 14:40,UNF Dr @ Eco Rd,
License/Unregistered,,,,,
Vehicle,,,,,
Driving While License suspended,9763-GYD,7/7/15 10:00,7/7/15,1 UNF Dr,Citation Issued
Suspended,,,,,
Driving While License suspended,A0Y5CJP,7/7/15 9:00,7/7/15 9:00,unf Dr @ Garage 38,Citation Issued
