incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
Retail Theft,18-03392,22:00,2018-09-28,"200 BLOCK ATWOOD / 200-300 ATWOOD ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03396,00:54,2018-09-29,"LITCHFIELD TOWER A / 3955 FORBES AVE, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,18-03410,21:43,2018-09-29,"200 BLOCK MEYRAN / 200-300 MEYRAN AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03412,23:41,2018-09-29,"BOUQUET GARDENS (BUILDING C) / 265 OAKLAND AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,18-03413,00:58,2018-09-30,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,18-03414,01:10,2018-09-30,"MEYRAN AVE / 0 MEYRAN AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03417,04:21,2018-09-30,SUTHERLAND HALL / 3725 SUTHERLAND DR,University of Pittsburgh-Pittsburgh Campus,NA,NA
Defiant Trespass,18-03421,12:57,2018-09-30,SENNOTT SQUARE/RETAIL STORES / 3810 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft of Bicycle,18-03437,17:52,2018-10-01,"HILLMAN LIBRARY / 3960 FORBES AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,18-03447,11:07,2018-10-02,"HALKET STREET / HALKET ST, PITTBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Retail Theft,18-03459,23:54,2018-10-02,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),18-03460,00:42,2018-10-03,"HILLMAN LIBRARY / 3960 FORBES AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03466,16:40,2018-10-03,"Mazeroski Field / ROBERTO CLEMENTE DR, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,18-03491,20:32,2018-10-04,"FORBES AVE 3700 / 3700 BLOCK FORBES AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),18-03494,00:00,2018-10-05,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Robbery,18-03496,03:46,2018-10-05,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03499,10:30,2018-10-05,"SENNOTT STREET / SENNOTT SENNOTT & OAKLAND, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03503,14:38,2018-10-05,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-03507,16:35,2018-10-05,"DAWSON STREET / DAWSON STREET, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03512,22:03,2018-10-05,"MCKEE PLACE / 0 MCKEE PL, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03513,23:42,2018-10-05,"JOE HAMMER SQUARE / JOE HAMMER SQ., PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03517,00:31,2018-10-06,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03516,00:49,2018-10-06,LITCHFIELD TOWER C / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03520,01:14,2018-10-06,"SEMPLE ST / 0 SEMPLE ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03518,01:35,2018-10-06,SCHENLEY QUADRANGLE/SQ / 3959 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
"Buying, Consume While Underage",18-03519,01:45,2018-10-06,"3400 BLOCK FORBES / 3400-3500 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03529,19:36,2018-10-06,"COST SPORTS CENTER / 365 ROBINSON ST EXT, PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,18-03540,01:26,2018-10-07,"200 BLOCK ATWOOD / 200-300 ATWOOD ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03546,07:53,2018-10-07,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03554,00:36,2018-10-08,"SEMPLE ST / 0 SEMPLE ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-03560,11:08,2018-10-08,"BATES ST / 0 BATES ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,18-03578,15:29,2018-10-09,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,18-03584,11:31,2018-10-10,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,18-03587,16:26,2018-10-10,"BENEDUM HALL / 3700 O'HARA ST, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03591,20:58,2018-10-10,"324 MCKEE PL, PITTSBURGH, 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,18-03595,00:22,2018-10-11,5TH/ATWOOD,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03599,11:12,2018-10-11,MCCORMICK HALL / 3990 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03603,16:01,2018-10-11,"BATES ST / 0 BATES ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03606,19:03,2018-10-11,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft of Bicycle,18-03608,00:19,2018-10-12,PG LOT (GSPH GARAGE) / 148 DE SOTO ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03609,01:16,2018-10-12,"200 BLOCK ATWOOD / 200-300 ATWOOD ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,NA,10:30,2018-10-12,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03623,18:06,2018-10-12,"NO BLDG. # ENTERED / PITTSBURGH, 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,18-03634,04:28,2018-10-14,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft of Bicycle,18-03640,19:35,2018-10-14,"THACKERY STREET / THACKERAY THACKERAY AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft of Bicycle,18-03641,00:40,2018-10-15,"THACKERY STREET / THACKERAY THACKERAY AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,18-03642,00:47,2018-10-15,"HOLLAND HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,18-03656,08:59,2018-10-16,PANTHER CENTRAL / 3990 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03658,12:52,2018-10-16,"DAWSON STREET / DAWSON STREET, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-03666,07:55,2018-10-17,"FORBES AVE 3600 / 3600 BLOCK FORBES AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),18-03679,05:59,2018-10-18,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,NA,11:10,2018-10-18,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03680,11:23,2018-10-18,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,18-03692,08:52,2018-10-19,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03696,15:12,2018-10-19,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Violates City Ordinance,18-03700,18:56,2018-10-19,"200 BLOCK ATWOOD / 200-300 ATWOOD ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03702,00:14,2018-10-20,"NORDENBERG HALL / 111 UNIVERSITY PL, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03703,00:57,2018-10-20,"FORBES HALL PAVILION / 3525 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03704,01:19,2018-10-20,"SEMPLE ST / 0 SEMPLE ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Indecent Exposure,18-03713,13:11,2018-10-20,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Sex Offense,18-03714,15:34,2018-10-20,"MCKEE PLACE / 0 MCKEE PL, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03715,16:09,2018-10-20,"OLYMPIC SPORTS COMPLEX / VERA STREET, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03718,23:25,2018-10-20,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03719,00:53,2018-10-21,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),18-03721,01:43,2018-10-21,"WARD STREET / PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03725,15:21,2018-10-21,SUTHERLAND HALL / 3725 SUTHERLAND DR,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03726,17:56,2018-10-21,"HOLLAND HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Sex Offense,18-03730,03:46,2018-10-22,"MCKEE PLACE / 0 MCKEE PL, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03746,21:43,2018-10-22,"HOLLAND HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,18-03751,13:16,2018-10-23,"FIELD HOUSE / 3502 ALLEQUIPPA ST, PITTSBURGH, PA 15219",University of Pittsburgh-Pittsburgh Campus,NA,NA
Resisting Arrest,18-03753,17:02,2018-10-23,"S. BOUQUET STREET / S. BOUQUET BOUQUET ST, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03755,18:42,2018-10-23,"FORBES AVE 3600 / 3600 BLOCK FORBES AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03765,16:02,2018-10-24,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Terroristic Threats,18-03785,22:18,2018-10-25,"OAKLAND AVE 100-300 BLOCK / PITTABURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,NA,13:53,2018-10-26,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Simple Assault,NA,13:57,2018-10-26,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Sex Offense,NA,14:15,2018-10-26,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,NA,14:48,2018-10-26,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03805,00:39,2018-10-27,"FORBES HALL PAVILION / 3525 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03804,01:06,2018-10-27,"HOLLAND HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03816,17:10,2018-10-27,TREES HALL / 3501 ALLEQUIPPA ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03823,00:24,2018-10-28,LITCHFIELD TOWER B / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Violates City Ordinance,18-03822,00:28,2018-10-28,"LAWN STREET / LAWN STREET, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03824,00:50,2018-10-28,"HOLLAND HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-03830,06:38,2018-10-28,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03839,18:44,2018-10-28,LITCHFIELD TOWER C / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03848,08:42,2018-10-29,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,18-03861,08:16,2018-10-30,"GARDNER STEEL / 4010 O'HARA ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03862,09:52,2018-10-30,LITCHFIELD TOWER B / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,18-03870,19:04,2018-10-30,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),18-03871,19:50,2018-10-30,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03874,21:37,2018-10-30,"PETERSEN EVENTS CENTER / 3719 TERRACE ST, PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03875,23:44,2018-10-30,"COLTART AVENUE / COLTART AVENUE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-03876,00:48,2018-10-31,SUTHERLAND HALL / 3725 SUTHERLAND DR,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03880,04:23,2018-10-31,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Marijuana/Disorderly Conduct,18-03890,14:57,2018-10-31,"WYNDHAM PITTSBURGH UNIVERSITY CENTER / 130-150 LYTON AVE, PITSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Defiant Trespass,18-03889,14:59,2018-10-31,"PETERSEN EVENTS CENTER / 3719 TERRACE ST, PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
Indecent Exposure,18-03896,22:01,2018-10-31,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03900,09:58,2018-11-01,"ALLEQUIPPA STREET / ALLEQUIPPA ST, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Warrant Arrest,18-03907,15:07,2018-11-01,"OAKLAND AVE 100-300 BLOCK / OAKLAND AVE 100-300 OAKLAND AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03911,21:58,2018-11-01,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Trespass,18-03920,11:05,2018-11-02,TREES HALL / 3501 ALLEQUIPPA ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Trespass,18-03929,19:02,2018-11-02,"BELLEFIELD HALL / 315 SOUTH BELLEFIELD AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,18-03930,22:21,2018-11-02,"200 BLOCK ATWOOD / 200-300 ATWOOD ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
False ID to Law Enforcement,18-03931,23:34,2018-11-02,WILLIAM PITT UNION / 3959 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-03936,02:21,2018-11-03,SUTHERLAND HALL / 3725 SUTHERLAND DR,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-03940,03:24,2018-11-03,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-03938,03:34,2018-11-03,"MCKEE PLACE / 0 MCKEE PL, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Indecent Exposure,18-03946,22:13,2018-11-03,"RUSKIN AVE / PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Aggravated Assault with No Weapon,18-03950,01:18,2018-11-04,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Assault,18-03951,01:21,2018-11-04,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03952,01:48,2018-11-04,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03956,03:04,2018-11-04,"LITCHFIELD TOWER A / 3955 FORBES AVE, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-03957,03:41,2018-11-04,MELWOOD WAREHOUSE/TRADESH / 480 MELWOOD ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-03963,15:54,2018-11-04,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03977,13:18,2018-11-05,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,18-03982,15:13,2018-11-05,WILLIAM PITT UNION / 3959 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-03986,17:33,2018-11-05,"DAWSON STREET / DAWSON STREET, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-04000,19:08,2018-11-06,"PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-04015,10:03,2018-11-07,"BIOMEDICAL SCIENCE TOWER / 205 LOTHROP ST, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment by Communication,18-04023,17:02,2018-11-07,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Violates City Ordinance,18-04028,00:05,2018-11-08,"HOLLAND HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Disorderly Conduct,18-04045,00:19,2018-11-09,"SEMPLE ST / 0 SEMPLE ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-04048,03:50,2018-11-09,"S. BOUQUET STREET / S. BOUQUET BOUQUET ST, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Burglary Attempted Forcible Entry,18-04056,14:17,2018-11-09,"OAKWOOD APT 234-236 / 234-236 OAKLAND AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-04067,23:55,2018-11-09,"LOUISA STREET / LOUISA STREET, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Domestic (no threat or violence),18-04070,00:30,2018-11-10,"BATES ST / 0 BATES ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-04069,01:26,2018-11-10,"FORBES HALL PAVILION / 3525 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-04071,01:52,2018-11-10,"CHESTERFIELD ROAD / CHESTERFIELD ROAD, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
"Buying, Consume While Underage",18-04083,17:20,2018-11-10,"HEINZ FIELD / 900 ART ROONEY DR, PITTSBURGH, PA 15212",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-04088,02:23,2018-11-11,LITCHFIELD TOWER B / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-04089,14:44,2018-11-11,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-04091,15:31,2018-11-11,UPMC/PRESBYTERIAN HOSPITAL / 200 LOTHROP ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,18-04101,13:04,2018-11-12,WILLIAM PITT UNION / 3959 FIFTH AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft by Unlawful Taking,18-04103,13:49,2018-11-12,POSVAR HALL/FORBES QUAD / 230 SOUTH BOUQUET ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Defiant Trespass,18-04115,23:30,2018-11-12,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Defiant Trespass,18-04118,02:37,2018-11-13,LITCHFIELD TOWER/LOBBY / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft of Bicycle,18-04122,12:58,2018-11-13,"3500 BLOCK FIFTH / 3500-3600 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Harassment/Threat,18-04123,13:34,2018-11-13,"CATHEDRAL OF LEARNING/STE / 4200 FIFTH AVE, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency - Conduct Referral,18-04126,16:11,2018-11-13,"PSB / PUBLIC SAFETY BLDG / 3412 FORBES AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-Burglary,18-04133,22:36,2018-11-13,"CHESTERFIELD ROAD / PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-04142,13:28,2018-11-14,LITCHFIELD TOWER B / 3955 FORBES AVE,University of Pittsburgh-Pittsburgh Campus,NA,NA
Assist Other Agency-General,18-04148,16:46,2018-11-14,"NO BLDG. # ENTERED / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Loitering Near Dwellings,18-04153,21:59,2018-11-14,"OAKLAND AVE 100-300 BLOCK / OAKLAND AVE 100-300 OAKLAND AVE, PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Drug Violation,18-04154,23:52,2018-11-14,"HOLLAND HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Confiscation,18-04155,00:47,2018-11-15,"A LOT (POSVAR HALL GARAGE) / 230 SOUTH BOUQUET ST, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
Fire Actual,18-04156,08:37,2018-11-15,"BENEDUM HALL / 3700 O'HARA ST, PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-04166,18:16,2018-11-15,"OAKLAND AVE 100-300 BLOCK / PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
Criminal Mischief-General,18-04170,22:23,2018-11-15,R Lot  (Salk Hall) / 3501 TERRACE ST,University of Pittsburgh-Pittsburgh Campus,NA,NA
Theft / Lost / Mislaid,18-04172,00:25,2018-11-16,"GSPH/CRABTREE/PARRAN HALL / 130 DE SOTO ST, PITTSBURGH, PA 15261",University of Pittsburgh-Pittsburgh Campus,NA,NA
Campus Security Authority-Liquor Law Violation,18-04189,21:00,2018-11-16,"BRUCE HALL / 3990 FIFTH AVE, PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
"Buying, Consume While Underage",18-04190,00:05,2018-11-17,IRVIS HALL / 3825 UNIVERSITY DR,University of Pittsburgh-Pittsburgh Campus,NA,NA
