incident,case_number,date_reported,date_occurred,time_occurred,location,university,time_reported
Attempted Suicide,C17-0000557.A18,2017-01-11,2017-01-11,21:58,Twin Towers East,Marshall University,NA
Petit Larceny,C17-0000585.A35,2017-01-12,2017-01-10,13:46,Corbly Hall,Marshall University,NA
Unlawful Drinking Under 21,C17-0000662.A33,2017-01-14,2017-01-14,01:22,South Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C17-0000700.A33,2017-01-15,2017-01-15,01:27,North Residence Hall,Marshall University,NA
Possession of Marijuana,C17-0000707.A33,2017-01-15,2017-01-15,02:19,3rd Ave Parking Garage,Marshall University,NA
Possession of Marijuana,C17-0000822.A28,2017-01-17,2017-01-17,10:19,2200 Block / 3rd Ave,Marshall University,NA
Unassigned Incident,C17-0000946.A27,2017-01-19,2017-01-19,03:07,1249 15th Street,Marshall University,NA
Grand Larceny,C17-0000956.A22,2017-01-19,2017-01-19,17:19,Memorial Student Center,Marshall University,NA
Petit Larceny,C17-0000979.A22,2017-01-19,2017-01-19,19:49,Smith Hall,Marshall University,NA
Unlawful Drinking Under 21,C17-0001024.A33,2017-01-21,2017-01-21,00:52,South Residence Hall,Marshall University,NA
Public Intoxication,C17-0001025.A33,2017-01-21,2017-01-21,01:09,Twin Towers West,Marshall University,NA
Unlawful Drinking Under 21,C17-0001060.A28,2017-01-22,2017-01-22,01:30,South Residence Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0001162.A35,2017-01-24,2017-01-24,10:32,Employee C Lot,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0001237.A35,2017-01-25,2017-01-24,15:17,Recreation Center Parking Lot,Marshall University,NA
Domestic Incident,C17-0001371.A28,2017-01-28,2017-01-28,02:33,Twin Towers West,Marshall University,NA
Unassigned Incident,C17-0001382.A27,2017-01-28,2017-01-28,08:27,2251 5th Ave,Marshall University,NA
Trespassing,C17-0001415.A33,2017-01-29,2017-01-29,00:09,Twin Towers East,Marshall University,NA
Possession of Marijuana,C17-0001474.A27,2017-01-30,2017-01-30,15:00,Twin Towers East,Marshall University,NA
Petit Larceny,C17-0001507.A35,2017-01-31,2017-01-30,07:55,Twin Towers East,Marshall University,NA
Petit Larceny,C17-0001570.A35,2017-02-01,2017-01-31,13:51,INTO Building,Marshall University,NA
Unassigned Incident,C17-0001624.A27,2017-02-02,2017-02-02,13:16,South Charleston Campus,Marshall University,NA
Fraudulent Use of Access Device,C17-0001679.A27,2017-02-03,2017-01-27,15:17,MU Bookstore,Marshall University,NA
Domestic Battery,C17-0001685.A22,2017-02-03,2017-02-03,17:00,Wellman Hall,Marshall University,NA
Petit Larceny,C17-0001955.A35,2017-02-08,2017-02-07,15:44,Jenkins Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0002003.A27,2017-02-09,2017-02-09,13:22,Stadium Parking Lot,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0002017.A18,2017-02-09,2017-02-09,17:51,Softball Complex,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0002070.A22,2017-02-10,2017-02-08,17:02,Byrd Building Parking Lot,Marshall University,NA
Unarmed Robbery (2nd Degree),C17-0002158.A18,2017-02-11,2017-02-11,21:34,1700 Block / 5th Ave,Marshall University,NA
Larceny,C17-0002243.A16,2017-02-13,2016-12-15,11:08,Engineering Building,Marshall University,NA
Larceny from Building,C17-0002349.A16,2017-02-15,2017-02-11,10:31,Smith Hall,Marshall University,NA
Petit Larceny,C17-0002377.A18,2017-02-15,2017-02-14,15:30,1700 Block / 5th Ave,Marshall University,NA
Destruction of Property,C17-0002426.A22,2017-02-16,2017-02-16,20:09,Henderson Center,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0002457.A35,2017-02-17,2017-02-15,11:36,Stadium Parking Lot,Marshall University,NA
Petit Larceny,C17-0002464.A18,2017-02-17,2016-12-02,16:02,Smith Hall,Marshall University,NA
Petit Larceny,C17-0002541.A18,2017-02-18,2017-02-18,19:03,Twin Towers East,Marshall University,NA
Possession of Marijuana,C17-0002601.A26,2017-02-19,2017-02-19,21:09,Twin Towers East,Marshall University,NA
Sexual Abuse,C17-0002658.A22,2017-02-20,NA,19:11,North Residence Hall,Marshall University,NA
Petit Larceny,C17-0002789.A35,2017-02-23,2017-02-18,13:11,Twin Towers East,Marshall University,NA
Petit Larceny,C17-0002799.A18,2017-02-23,2017-02-23,17:34,Morrow Library,Marshall University,NA
Unlawful Drinking Under 21,C17-0002900.A33,2017-02-26,2017-02-26,00:17,Twin Towers East,Marshall University,NA
Harassing Phone Calls,C17-0002996.A23,2017-02-27,NA,12:54,Campus,Marshall University,NA
Domestic Battery,C17-0003010.A22,2017-02-27,2017-02-27,17:50,Holderby Hall,Marshall University,NA
Possession of a Controlled Substance,C17-0003016.A26,2017-02-27,2017-02-27,19:05,Stadium Parking Lot,Marshall University,NA
Manufacture of Controlled Substance,C17-0003160.A35,2017-03-02,2017-03-03,10:18,Smith Hall,Marshall University,NA
Destruction of Property,C17-0003184.A18,2017-03-02,2017-03-02,21:20,3rd Ave Parking Garage,Marshall University,NA
Burglary,C17-0003205.A27,2017-03-03,2017-03-02,08:34,North Residence Hall,Marshall University,NA
Sexual Assault,C17-0003220.A10,2017-03-03,2017-02-25,13:00,Residence Hall,Marshall University,NA
Possession of Marijuana,C17-0003332.A33,2017-03-05,2017-03-05,02:05,3rd Ave Parking Garage,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0003443.A30,2017-03-07,2017-03-06,08:36,3rd Ave Parking Garage,Marshall University,NA
Destruction of Property,C17-0003506.A23,2017-03-08,2017-03-02,13:52,Student Lot / Elm Street,Marshall University,NA
Striking Unattended Vehicle,C17-0003800.A23,2017-03-13,2017-03-13,11:53,Stadium Parking Lot,Marshall University,NA
Striking Unattended Vehicle,C17-0003933.A26,2017-03-15,2017-03-15,17:54,3rd Ave Parking Garage,Marshall University,NA
Possession of Marijuana,C17-0003948.A33,2017-03-16,2017-03-16,01:54,500 Block / 19th Street,Marshall University,NA
Underage Drinking,C17-0004069.A22,2017-03-17,2017-03-17,22:58,South Residence Hall,Marshall University,NA
Destruction of Plants,C17-0004243.A23,2017-03-20,2017-03-19,08:18,M Club Drive,Marshall University,NA
Possession of Jeroin,C17-0004410.A27,2017-03-23,2017-03-23,12:38,Stadium Parking Lot,Marshall University,NA
Destruction of Property,C17-0004574.A27,2017-03-26,2017-03-26,10:16,M Club Drive,Marshall University,NA
Larceny,C17-0004575.A30,2017-03-26,2017-03-26,14:00,Stadium Parking Lot,Marshall University,NA
Larceny,C17-0004645.A30,2017-03-27,2017-03-27,14:00,Employee Parking 3rd Ave,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0004648.A30,2017-03-27,2017-03-27,15:20,Student Lot / 5th Ave,Marshall University,NA
B&E Auto,C17-0004698.A23,2017-03-28,2017-03-28,03:09,Gullickson Parking Lot,Marshall University,NA
Destruction of Property,C17-0004764.A23,2017-03-29,2017-03-26,12:26,Stadium Parking Lot,Marshall University,NA
Larceny,C17-0004767.A23,2017-03-29,2017-03-28,13:21,Twin Towers East,Marshall University,NA
Threats of Suicide,C17-0004798.A33,2017-03-30,2017-03-30,02:56,5th Ave Side of Holderby,Marshall University,NA
Petit Larceny,C17-0004810.A35,2017-03-30,2017-03-29,09:48,Byrd Clinical Center,Marshall University,NA
Armed Robbery,C17-0004910.A24,2017-04-01,2017-04-01,03:27,1900 Block / College Ave,Marshall University,NA
Petit Larceny,C17-0005003.A22,2017-04-02,2017-04-01,20:57,Haymaker Hall,Marshall University,NA
Public Intoxication,C17-0005008.A30,2017-04-03,2017-04-03,02:07,Twin Towers West,Marshall University,NA
Assault by Threats,C17-0005078.A35,2017-04-04,2017-04-03,15:46,North Residence Hall,Marshall University,NA
Grand Larceny,C17-0005220.A27,2017-04-07,2017-01-01,14:08,1800 Block / 6th Ave,Marshall University,NA
Possession of Marijuna,C17-0005228.A22,2017-04-07,2017-04-07,16:27,South Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C17-0005245.A33,2017-04-08,2017-04-08,01:58,Wellman Hall,Marshall University,NA
Larceny from Vehicle,C17-0005348.A22,2017-04-09,2017-04-09,20:08,Physical Plant Parking Lot,Marshall University,NA
Petit Larceny,C17-0005442.A16,2017-04-11,2017-04-07,12:17,North Residence Hall,Marshall University,NA
Theft from Vehicle,C17-0005475.A18,2017-04-11,2017-04-11,22:05,Henderson Center Parking Lot,Marshall University,NA
Petit Larceny,C17-0005479.A33,2017-04-12,2017-04-12,01:31,North Residence Hall,Marshall University,NA
"Obscene,Anonymous, Harrassing & Threatening",C17-0005555.A27,2017-04-13,2017-04-13,12:38,Memorial Student Center,Marshall University,NA
Counterfeiting,C17-0005560.A27,2017-04-13,2017-04-13,14:44,Memorial Student Center,Marshall University,NA
Leaving the Scene of an Accident,C17-0005594.A24,2017-04-14,2017-04-10,00:52,Stadium Parking Lot,Marshall University,NA
Found Property,C17-0005655.A28,2017-04-15,2017-04-15,01:10,South Residence Hall,Marshall University,NA
Petit Larceny,C17-0005927.A18,2017-04-19,2017-04-18,18:48,Holderby Hall,Marshall University,NA
Underage Drinking Sting,C17-0005989.A33,2017-04-20,2017-04-20,21:00,MU Campus & Surrounding Area,Marshall University,NA
Fugitive From Justice,C17-0005991.A27,2017-04-20,2017-04-20,22:57,300 Block / 15th Street,Marshall University,NA
Destruction of Property,C17-0006027.A22,2017-04-21,2017-04-21,16:28,Maple Ave / Student Lot,Marshall University,NA
Harassment,C17-0006319.A32,2017-04-27,2017-04-27,00:45,Twin Towers West,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0006412.A35,2017-04-28,2017-04-28,15:25,Maple Ave / Student Lot,Marshall University,NA
Destruction of Property,C17-0006471.A23,2017-04-29,2017-04-27,13:00,Maple Ave / Student Lot,Marshall University,NA
Speeding,C17-0006497.A28,2017-04-30,2017-04-30,03:50,1300 Block / 3rd Ave,Marshall University,NA
Petit Larceny,C17-0006639.A25,2007-05-02,2017-05-02,11:50,Marshall Health,Marshall University,NA
Underage Consumption of Alcohol,C17-0006660.A34,2017-05-03,2017-05-03,00:37,Wellman Hall,Marshall University,NA
Destruction of Property,C17-0006681.A35,2017-05-03,2017-05-02,08:52,Student Lot / 19th Street / 5th Ave,Marshall University,NA
DUI 1st,C17-0006937.A28,2017-05-07,2017-05-07,03:02,20th Street / 3rd Ave,Marshall University,NA
Assault by Threats,C17-0007091.A35,2017-05-09,2017-05-09,10:49,Corbly Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0007103.A25,2017-05-09,2017-05-09,18:30,Stadium Parking Lot,Marshall University,NA
Grand Larceny,C17-0007790.A25,2017-05-20,2017-05-20,17:00,Science Building,Marshall University,NA
Possession of Controlled Substance w/ intent to deliver,C17-0008813.A27,2017-06-07,2017-06-07,NA,Twin Towers East,Marshall University,NA
Trespassing,C17-0009335.A27,2017-06-15,2017-06-15,NA,1249 15th Street,Marshall University,NA
Executed Warrant,C17-0009939.A10,2017-06-26,2017-06-26,NA,1801 5th Ave,Marshall University,NA
Disorderly Conduct,C17-0009996.A16,2017-06-27,2017-06-27,NA,500 Block / 20th Street,Marshall University,NA
Striking Unattended Vehicle,C17-0010557.A25,2017-07-07,2017-07-17,16:00,Employee D Lot,Marshall University,NA
Public Intoxication,C17-0011653.A27,2017-07-27,2017-07-27,09:37,1040 13th Ave,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0011674.A22,2017-07-27,2017-07-27,16:12,Erma Byrd Center,Marshall University,NA
Petit Larceny,C17-0011963.A27,2017-08-01,2017-07-27,14:02,Stadium,Marshall University,NA
Possession of Controlled Substance,C17-0012015.A34,2017-08-02,2017-08-02,09:19,500 Block/20th Street,Marshall University,NA
Transferring & Receiving Stolen Property,C17-0012309.A35,2017-08-08,2017-08-08,11:15,Guest Parking Lot,Marshall University,NA
Petit Larceny,C17-0012516.A23,2017-08-11,2017-08-11,08:25,Twin Towers West,Marshall University,NA
Shoplifting,C17-0012595.A34,2017-08-13,2017-08-13,01:43,2200 Block of 5 1/2 Alley,Marshall University,NA
Burglary,C17-0012692.A20,2017-08-14,2017-08-14,09:06,Myers Hall,Marshall University,NA
Possession of Controlled Substance,C17-0012697.A20,2017-08-14,2017-08-14,15:20,1751 5th Avenue,Marshall University,NA
Fugitive From Justice,C17-0012715.A20,2017-08-14,2017-08-14,17:56,1700 Block / 3rd Ave,Marshall University,NA
Unlawful Drinking Under 21,C17-0012799.A33,2017-08-16,2017-08-16,07:06,19th Street / College Ave,Marshall University,NA
Public Intoxication,C17-0012818.A35,2017-08-16,2017-08-16,14:53,Byrd Clinical Center,Marshall University,NA
Striking Unattended,C17-0012956.A23,2017-08-18,2017-08-17,08:45,Douglas Building,Marshall University,NA
Unlawful Drinking Under 21,C17-0013027.A33,2017-08-19,2017-08-19,04:07,Drinko Library,Marshall University,NA
Unlawful Drinking Under 21,C17-0013070.A33,2017-08-20,2017-08-20,01:52,North Residence Hall,Marshall University,NA
Striking Unattended,C17-0013147.A23,2017-08-19,2017-08-19,13:40,Student Lot / Maple Ave,Marshall University,NA
Striking Unattended Vehicle,C17-0013270.A27,2017-08-23,2017-08-23,09:55,General Parking,Marshall University,NA
Petit Larceny,C17-0013285.A35,2017-08-23,2017-08-23,14:35,Drinko Library,Marshall University,NA
Petit Larceny,C17-0013317.A25,2017-08-23,2017-08-23,21:55,Stadium Parking Lot,Marshall University,NA
Underage Consumption X12,C17-0013377.A20,2017-08-25,2017-08-25,21:00,MU Campus,Marshall University,NA
Sexual Assault,C17-0013407.A20,2017-08-25,2017-08-25,11:49,South Residence Hall,Marshall University,NA
Larceny From Building,C17-0013416.A22,2017-08-25,2017-08-25,15:53,Drinko Library,Marshall University,NA
Underage Drinking,C17-0013493.A26,2017-08-26,2017-08-26,22:51,CVS Parking Lot,Marshall University,NA
Striking Unattended Vehicle,C17-0013593.A26,2017-08-28,2017-08-28,16:11,3rd Ave Parking Garage,Marshall University,NA
Larceny From Building,C17-0013720.A16,2017-08-30,2017-08-30,12:51,Prichard Hall,Marshall University,NA
Petit Larceny,C17-0013821.A25,2017-08-31,2017-08-31,16:20,Twin Towers East,Marshall University,NA
Possession of Marijuana,C17-0013841.A29,2017-08-31,2017-08-31,21:00,MU Campus,Marshall University,NA
Possession of Marijuana,C17-0013895.A34,2017-09-02,2017-09-02,01:44,3rd Ave Parking Garage,Marshall University,NA
Attempted Suicide,C17-0013900.A32,2017-09-02,2017-09-02,03:23,Twin Towers West,Marshall University,NA
Sexual Assault,C17-0013922.A20,2017-09-02,2017-09-02,12:15,Gibson Hall,Marshall University,NA
Consumption of Alcohol by a Minor,C17-0013930.A25,2017-09-02,2017-09-02,22:09,Twin Towers East,Marshall University,NA
B&E of Vehicle,C17-0013932.A24,2017-09-02,2017-09-02,10:55,Softball Complex,Marshall University,NA
Striking Unattended Vehicle,C17-0013933.A25,2017-09-02,2017-09-02,22:00,3rd Ave Parking Garage,Marshall University,NA
Obstruction,C17-0013942.A17,2017-09-03,2017-09-03,05:26,North Residence Hall,Marshall University,NA
Trespassing,C17-0014010.A20,2017-09-04,2017-09-04,10:29,18th Street / 3rd Ave,Marshall University,NA
Grand Larceny,C17-0014054.A35,2017-09-05,2017-09-03,10:57,North Residence Hall,Marshall University,NA
Burglary,C17-0014058.A35,2017-09-05,2017-09-05,00:54,Holderby Hall,Marshall University,NA
Grand Larceny,C17-0014179.A16,2017-09-07,2017-09-07,09:00,Shewey Building,Marshall University,NA
Petit Larceny,C17-0014181.A16,2017-09-07,2017-09-07,10:00,Stadium,Marshall University,NA
Petit Larceny from Building,C17-0014294.A24,2017-09-08,2017-09-08,19:52,Twin Towers East,Marshall University,NA
Unlawful Drinking Under 21,C17-0014300.A34,2017-09-09,2017-09-09,01:03,John Marshall Drive,Marshall University,NA
Entering Without Breaking,C17-0014355.A17,2017-09-09,2017-09-09,21:05,Cam Henderson,Marshall University,NA
Unlawful Drinking Under 21,C17-0014362.A17,2017-09-10,2017-09-10,23:59,Twin Towers West,Marshall University,NA
Counterfeiting,C17-0014385.A20,2017-09-10,2017-09-10,13:30,2251 5th Avenue,Marshall University,NA
Striking Unattended Vehicle,C17-0014532.A27,2017-09-13,2017-09-13,15:12,3rd Ave Parking Garage,Marshall University,NA
Petit Larceny,C17-0014548.A25,2017-09-13,2017-09-13,18:51,Recreation Center,Marshall University,NA
Striking Unattended Vehicle,C17-0014747.A25,2017-09-16,2017-09-16,23:00,Softball Complex,Marshall University,NA
Threats of Suicide,C17-0014753.A17,2017-09-17,2017-09-17,00:25,3rd Ave Parking Garage,Marshall University,NA
Sexual Abuse 3rd Degree,C17-0014946.A16,2017-09-11,2017-09-17,12:35,Twin Towers East,Marshall University,NA
Destruction of Property,C17-0015000.A17,2017-09-21,2017-09-21,03:15,John Marshall Drive,Marshall University,NA
Entering Without Breaking,C17-0015103.A18,2017-09-22,2017-09-22,22:50,Smith Complex,Marshall University,NA
Fleeing with Vehicle,C17-0015104.A25,2017-09-22,2017-09-22,23:11,5th Ave / 18th Street,Marshall University,NA
Unlawful Drinking Under 21,C17-0015169.A17,2017-09-24,2017-09-24,02:51,1800 Block / 6th Ave,Marshall University,NA
Sexual Assault,C17-0015197.A24,2017-09-24,2017-09-24,19:44,South Residence Hall,Marshall University,NA
Larceny,C17-0015248.A27,2017-09-25,2017-09-25,12:32,Twin Towers West,Marshall University,NA
Found Property,C17-0015270.A32,2017-09-26,2017-09-26,05:33,Smith Hall,Marshall University,NA
Larceny from Building,C17-0015376.A22,2016-09-27,2017-09-27,19:30,Drinko Library,Marshall University,NA
B&E Auto,C17-0015472.A35,2017-09-29,2017-09-29,11:45,19th Street / 6th Ave,Marshall University,NA
Larceny from Building,C17-0015488.A22,2017-09-29,2017-09-29,12:00,Gullickson Hall,Marshall University,NA
Suicidal Threats,C17-0015493.A17,2017-09-30,2017-09-30,00:29,Twin Towers East,Marshall University,NA
Unassigned Incident,C17-0015525.A27,2017-09-30,2017-09-30,14:20,South Residence Hall,Marshall University,NA
Breaking & Entering,C17-0015638.A20,2017-10-02,2017-10-01,09:20,Stadium,Marshall University,NA
Shoplifting,C17-0015640.A27,2017-10-02,2017-10-02,10:39,Memorial Student Center,Marshall University,NA
Shoplifting,C17-0015651.A27,2017-10-02,2017-10-02,13:06,Bookstore,Marshall University,NA
Petit Larceny,C17-0015656.A34,2017-10-02,2017-09-25,14:24,John Marshall Drive,Marshall University,NA
Larceny,C17-0015659.A34,2017-10-02,2017-10-02,15:26,Twin Towers East,Marshall University,NA
Petit Larceny,C17-0015727.A35,2017-10-03,2017-10-03,17:58,Henderson Center,Marshall University,NA
Petit Larceny,C17-0015728.A35,2017-10-03,2017-10-03,18:16,Henderson Center,Marshall University,NA
Grand Larceny,C17-0015787.A20,2017-10-04,2017-10-03,02:10,Student Center Plaza,Marshall University,NA
Attempted Suicide,C17-0015870.A24,2017-10-05,2017-10-05,16:21,Buskirk,Marshall University,NA
Sexual Assault,C17-0015890.A18,2017-10-05,2017-10-04,23:26,Buskirk,Marshall University,NA
Unlawful Drinking Under 21,C17-0016041.A30,2017-10-08,2017-10-08,03:23,Twin Towers East,Marshall University,NA
Unlawful Drinking Under 21,C17-0016042.A17,2017-10-08,2017-10-08,03:33,South Residence Hall,Marshall University,NA
Threatening Through Cellphone,C17-0016120.A34,2017-10-09,2017-09-23,11:59,Marshall Campus,Marshall University,NA
Shoplifting,C17-0016243.A16,2017-10-11,2017-10-11,11:01,Memorial Student Center,Marshall University,NA
Unlawful Drinking Under 21,C17-0016294.A17,2017-10-12,2017-10-12,04:09,19th Street / 5th Avenue,Marshall University,NA
Petit Larceny,C17-0016401.A18,2017-10-13,2017-10-12,16:44,South Residence Hall,Marshall University,NA
Attempted Suicide,C17-0016489.A28,2017-10-15,2017-10-14,02:02,Haymaker Hall,Marshall University,NA
Underage Consumption,C17-0016525.A27,2017-10-15,2017-10-15,13:11,North Residence Hall,Marshall University,NA
Suicidal Threats,C17-0016528.A34,2017-10-15,2017-10-15,15:09,Harless Dining Hall,Marshall University,NA
Suicidal Threats,C17-0016581.A34,2017-10-16,2017-10-16,11:37,Haymaker Hall,Marshall University,NA
Petit Larceny,C17-0016589.A34,2017-10-15,2017-10-14,11:46,North Residence Hall,Marshall University,NA
Petit Larceny,C17-0016592.A34,2017-10-16,2017-10-14,14:43,Twin Towers East,Marshall University,NA
Larceny from Building,C17-0016654.A16,2017-10-17,2017-10-17,12:58,Recreation Center,Marshall University,NA
Damage to Vehicle,C17-0016680.A22,2017-10-17,2017-10-17,18:53,1900 Block / Maple Ave,Marshall University,NA
Assault,C17-0016719.A27,2017-10-18,2017-10-18,12:54,Corbly Pay Lot,Marshall University,NA
Shoplifting,C17-0016720.A27,2017-10-18,2017-10-18,14:14,Bookstore,Marshall University,NA
Domestic Battery,C17-0016961.A29,2017-10-22,2017-10-22,02:23,Willis Hall,Marshall University,NA
Larceny,C17-0017076.A20,2017-10-14,2017-10-13,NA,South Residence Hall,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C17-0017157.A18,2017-10-25,2017-10-24,16:03,3rd Ave Parking Garage,Marshall University,NA
Petit Larceny,C17-0017276.A35,2017-10-27,2017-10-27,18:28,Cabell Huntington Hospital,Marshall University,NA
Robbery,C17-0017286.A35,2017-10-27,2017-10-27,20:48,Buskirk,Marshall University,NA
Shoplifting,C17-0017410.A34,2017-10-30,2017-10-30,10:47,Memorial Student Center,Marshall University,NA
Execute Warrant,C17-0017634.A34,2017-11-03,2017-11-03,NA,2000 Block / 5th Ave,Marshall University,NA
Possession of Marijuana,C17-0017714.A24,2017-11-04,2017-11-04,NA,South Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C17-0017721.A28,2017-11-05,2017-11-05,NA,18th Street / 4th Avenue,Marshall University,NA
Possession w/Intent to Deliver,C17-0017809.A34,2017-11-06,2017-11-06,NA,1800 Block / 3rd Ave,Marshall University,NA
Possession of Marijuana,C17-0017856.A28,2017-11-06,2017-11-06,NA,2000 Block / 5th Ave,Marshall University,NA
Grand Larceny,C17-0018077.A35,2017-11-10,2017-11-10,NA,Byrd Clinical Center,Marshall University,NA
Unlawful Drinking Under 21,C17-0018108.A30,2017-11-11,2017-11-11,NA,North Residence Hall,Marshall University,NA
Unlawful Drinking Under 21,C17-0018112.A30,2017-11-11,2017-11-11,NA,North Residence Hall,Marshall University,NA
DUI 1st Offense,C17-0018147.A28,2017-11-12,2017-11-12,NA,5th Ave / 16th Street,Marshall University,NA
Possession of Controlled Substance,C17-0018340.A20,2017-11-15,2017-11-15,NA,3rd Ave / 20th Street,Marshall University,NA
Unlawful Drinking Under 21,C17-0018413.A28,2017-11-17,2017-11-16,NA,Memorial Student Plaza,Marshall University,NA
Petit Larceny,C17-0018447.A25,2017-11-17,2017-11-13,NA,3rd Ave Parking Garage,Marshall University,NA
Striking Unattended Vehicle,C17-0018581.A16,2017-11-19,2017-11-17,NA,Indoor Practice Facility Parking Lot,Marshall University,NA
Petit Larceny,C17-0018669.A28,2017-11-20,2017-11-19,NA,Twin Towers East,Marshall University,NA
Larceny,C17-0018734.A27,2017-11-22,2017-11-21,NA,1040 13th Avenue,Marshall University,NA
Petit Larceny,C17-0018801.A35,2017-11-23,2017-11-23,NA,Buskirk Hall,Marshall University,NA
Destruction of Property,C17-0018805.A27,2017-11-23,2017-11-23,NA,Memorial Student Plaza,Marshall University,NA
Driving on Revoked DUI 1st Offense,C17-0018960.A27,2017-11-26,2017-11-26,NA,1900 Block / 5th Avenue,Marshall University,NA
Larceny,C17-0018975.A27,2017-11-26,2017-11-17,NA,Twin Towers East,Marshall University,NA
Petit Larceny,C17-0019025.A34,2017-11-27,2017-11-17,NA,Harless Dining Hall,Marshall University,NA
Striking Unattended Vehicle,C17-0019213.A30,2017-11-30,2017-11-30,NA,6th Avenue Parking Lot,Marshall University,NA
Petit Larceny,C17-0019234.A25,2017-11-30,2017-11-30,NA,Twin Towers East,Marshall University,NA
Contraband,C17-0019236.A27,2017-11-30,2017-11-30,13:46,1800 Block / 6th Avenue,Marshall University,NA
Trespass,C17-0019307.A20,2017-12-01,2017-12-01,10:23,Henderson Center,Marshall University,NA
Trespass on Property,C17-0019317.A25,2017-12-01,2017-12-01,13:48,Engineering Building Parking Lot,Marshall University,NA
Destruction of Property,C17-0019367.A17,2017-12-02,2017-12-02,02:50,Memorial Student Center Plaza,Marshall University,NA
Possession of Marijuana,C17-0019380.A34,2017-12-02,2017-12-02,12:35,1800 Block / Maple Avenue,Marshall University,NA
Possession of Marijuana,C17-0019518.A20,2017-12-04,2017-12-04,13:29,500 Block / 19th Street,Marshall University,NA
Possession of Marijuana,C17-0019521.A27,2017-12-04,2017-12-04,14:00,North Residence Hall,Marshall University,NA
Petit Larceny,C17-0019580.A20,2017-12-05,2017-12-05,11:08,Gullickson Hall,Marshall University,NA
Shoplifting,C17-0019587.A25,2017-12-05,2017-12-05,14:13,Memorial Student Center,Marshall University,NA
Sexual Assault,C17-0019627.A18,2017-12-05,2017-12-02,23:30,29th Street Huntington,Marshall University,NA
Petit Larceny,C17-0019721.A25,2017-12-07,2017-12-07,15:04,Smith Hall,Marshall University,NA
Shoplifting,C17-0019789.A25,2017-12-08,2017-12-08,11:47,Memorial Student Center,Marshall University,NA
Information,C17-0019836.A32,2017-12-09,2017-12-09,01:20,South Residence Hall,Marshall University,NA
Petit Larceny,C17-0019976.A34,2017-12-11,2017-12-11,03:40,North Residence Hall,Marshall University,NA
Trespassing,C17-0020244.A14,2017-12-15,2017-12-15,14:01,Jenkins Hall,Marshall University,NA
Assault/Battery,C17-0020006.A26,2017-12-12,2017-12-12,22:34,North Residence Hall,Marshall University,NA
Fraud,C17-0020086.A20,2017-12-13,2017-11-08,12:25,Campus,Marshall University,NA
Possession of Marijuana,C17-0020616.A23,2017-12-21,2017-12-21,10:19,3rd Ave Parking Garage,Marshall University,NA
Trespassing w/ Firearm,C17-0021044.A29,2017-12-30,2017-12-30,02:18,Smith Hall,Marshall University,NA
Crash Report,C18-0000223.A25,2018-01-04,2018-01-04,11:30,Maple Ave / 20th Street,Marshall University,NA
Trespassing,C18-0000541.A23,2018-01-09,2018-01-09,19:52,Smith Hall,Marshall University,NA
Trespassing,C18-0000588.A27,2018-01-10,2018-01-10,14:12,3rd Ave Parking Garage,Marshall University,NA
Larceny,C18-0000643.A27,2018-01-11,2018-01-10,12:23,Recreation Center,Marshall University,NA
Indecent Exposure,C18-0001167.A35,2018-01-20,2018-01-20,00:17,Drinko Library,Marshall University,NA
Underage Drinking,C18-0001204.A29,2018-01-21,2018-01-21,04:01,South Residence Hall,Marshall University,NA
Stalking,C18-0001250.A23,2018-01-21,2018-01-21,20:01,Twin Towers West,Marshall University,NA
Larceny,C18-0001279.A27,2018-01-22,2018-01-19,08:09,North Residence Hall,Marshall University,NA
Petit Larceny,C18-0001295.A34,2018-01-22,2018-01-21,15:40,North Residence Hall,Marshall University,NA
Disorderly Conduct,C18-0001346.A27,2018-01-23,2018-01-23,10:35,18th Street / 5th Avenue,Marshall University,NA
Striking Unattended Vehicle,C18-0001414.A27,2018-01-24,2018-01-24,15:12,1249 15th Street,Marshall University,NA
Trespassing,C18-0001467.A20,2018-01-25,2018-01-25,12:17,Henderson E Level,Marshall University,NA
Petit Larceny,C18-0001468.A35,2018-01-25,2017-12-17,12:45,Recreation Center,Marshall University,NA
Threat of Suicide,C18-0001492.A32,2018-01-26,2018-01-26,01:28,Twin Towers West,Marshall University,NA
Possession of Marijuana,C18-0001493.A28,2018-01-26,2018-01-26,01:30,Student Center Plaza,Marshall University,NA
