case_number,date_reported,time_reported,incident,location,university,time_occurred,date_occurred
15-410,2015-10-28,19:10,LARCENY/ THEFT,McKean Hall,Rollins College,NA,NA
15-406,2015-10-28,02:02,TRESPASS,Strong Hall,Rollins College,NA,NA
15-404,2015-10-26,22:12,"REFERRAL, DRUG",McKean Hall,Rollins College,NA,NA
15-403,2015-10-26,09:57,LARCENY/ THEFT,Copeland Tennis Stadium,Rollins College,NA,NA
15-397,2015-10-21,11:23,TRESPASS,SunTrust Garage,Rollins College,NA,NA
15-396,2015-10-20,19:03,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
15-395,2015-10-20,17:52,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-394,2015-10-20,08:33,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-390,2015-10-19,07:52,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
15-388,2015-10-17,23:20,"REFERRAL, ALCOHOL",Sutton Apartments,Rollins College,NA,NA
15-387,2015-10-17,23:00,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
15-386,2015-10-17,16:10,VANDALISM,Campus Grounds,Rollins College,NA,NA
15-383,2015-10-16,19:37,HARASSMENT,Campus Safety Office,Rollins College,NA,NA
15-379,2015-10-14,15:12,LARCENY/ THEFT,Cornell Social Science/ CSS,Rollins College,NA,NA
15-378,2015-10-14,08:37,FIRE ALARM - NO FIRE,170 W. Fairbanks Bldg,Rollins College,NA,NA
15-377,2015-10-14,08:34,LARCENY/ THEFT,Holt Hall,Rollins College,NA,NA
15-375,2015-10-12,17:21,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-370,2015-10-09,11:57,LARCENY/ THEFT,McKean Hall,Rollins College,NA,NA
15-373,2015-10-09,10:35,HARASSMENT,"Boat House, Alfond",Rollins College,NA,NA
15-365,2015-10-08,22:50,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
15-366,2015-10-08,13:04,VANDALISM,Ward Hall,Rollins College,NA,NA
15-363,2015-10-08,09:17,LARCENY/ THEFT,Lawrence Center,Rollins College,NA,NA
15-368,2015-10-08,00:00,FIRE ALARM - NO FIRE,Cornell Social Science/ CSS,Rollins College,NA,NA
15-362,2015-10-07,22:41,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
15-361,2015-10-07,15:00,"REFERRAL, ALCOHOL",McKean Hall,Rollins College,NA,NA
15-359,2015-10-07,12:53,TRESPASS,Ward Hall,Rollins College,NA,NA
15-357,2015-10-06,17:53,"REFERRAL, DRUG",Sutton Apartments,Rollins College,NA,NA
15-355,2015-10-05,20:35,HARASSMENT,McKean Hall,Rollins College,NA,NA
15-342,2015-09-29,15:15,HARASSMENT,Campus Grounds,Rollins College,NA,NA
15-328,2015-09-21,10:46,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-327,2015-09-20,19:30,"ARREST, DRUG",NA,Rollins College,NA,NA
15-319,2015-09-17,16:16,LARCENY/ THEFT,Strong Hall,Rollins College,NA,NA
15-318,2015-09-17,11:00,LARCENY/ THEFT,Cross Hall,Rollins College,NA,NA
15-310,2015-09-14,13:35,LARCENY/ THEFT,170 W. Fairbanks Bldg,Rollins College,NA,NA
15-298,2015-09-07,21:40,HARASSMENT,NA,Rollins College,NA,NA
15-289,2015-09-01,23:24,"ARREST, DRUG",Ward Hall,Rollins College,NA,NA
15-288,2015-09-01,20:50,"REFERRAL, DRUG",NA,Rollins College,NA,NA
15-287,2015-09-01,11:38,"THEFT, MOTOR VEHICLE-AUTO",422 W. Fairbanks Ave.,Rollins College,NA,NA
15-285,2015-08-31,19:47,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Osceola Lodge/ WPI,Rollins College,NA,NA
15-283,2015-08-31,17:10,"HARASSMENT, SEXUAL OR GENDER-BASED",Holt Ave./ Campus,Rollins College,NA,NA
15-268,2015-08-23,12:24,LARCENY/ THEFT,Stewart House,Rollins College,NA,NA
15-267,2015-08-23,09:01,FIRE ALARM - FIRE,SunTrust Garage,Rollins College,NA,NA
15-263,2015-08-18,17:05,"ARREST, DRUG",Elizabeth Hall,Rollins College,NA,NA
15-261,2015-08-18,12:45,LARCENY/ THEFT,Cornell Social Science/ CSS,Rollins College,NA,NA
15-262,2015-08-17,14:07,FIRE ALARM - FIRE,Crummer Hall,Rollins College,NA,NA
15-254,2015-08-07,22:30,TRESPASS,Holt Ave./ Campus,Rollins College,NA,NA
15-249,2015-07-26,06:48,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
15-248,2015-07-25,02:33,FIRE ALARM - NO FIRE,170 W. Fairbanks Bldg,Rollins College,NA,NA
15-241,2015-07-13,21:33,FIRE ALARM - NO FIRE,170 W. Fairbanks Bldg,Rollins College,NA,NA
15-235,2015-07-04,09:30,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-222,2015-06-13,09:42,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
15-215,2015-06-06,04:16,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
15-211,2015-05-29,17:52,FIRE ALARM - NO FIRE,SunTrust Garage,Rollins College,NA,NA
15-208,2015-05-20,15:21,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
15-205,2015-05-13,08:18,FIRE ALARM - NO FIRE,Warren Administration Bldg,Rollins College,NA,NA
15-203,2015-05-08,10:25,VANDALISM,Elizabeth Hall,Rollins College,NA,NA
15-201,2015-05-06,23:28,LARCENY/ THEFT,SunTrust Garage,Rollins College,NA,NA
15-196,2015-05-05,13:56,VANDALISM,Elizabeth Hall,Rollins College,NA,NA
15-193,2015-05-04,09:00,LARCENY/ THEFT,SunTrust Garage,Rollins College,NA,NA
15-191,2015-05-02,17:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-189,2015-05-01,14:07,VANDALISM,Reeves Lodge,Rollins College,NA,NA
15-187,2015-04-29,10:30,VANDALISM,McKean Hall,Rollins College,NA,NA
15-179,2015-04-25,08:20,FIRE ALARM - FIRE,NA,Rollins College,NA,NA
15-174,2015-04-23,15:22,LARCENY/ THEFT,NA,Rollins College,NA,NA
15-173,2015-04-22,11:20,LARCENY/ THEFT,Knowles Memorial Chapel/ KMC,Rollins College,NA,NA
15-169,2015-04-17,14:38,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-166,2015-04-16,12:58,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-163,2015-04-14,17:20,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-162,2015-04-14,09:00,"REFERRAL, DRUG",Campus Grounds,Rollins College,NA,NA
15-161,2015-04-14,08:02,VANDALISM,NA,Rollins College,NA,NA
15-159,2015-04-13,21:06,FIRE ALARM - NO FIRE,SunTrust Garage,Rollins College,NA,NA
15-155,2015-04-11,16:05,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Strong Hall,Rollins College,NA,NA
15-153,2015-04-10,16:50,FIRE ALARM - NO FIRE,SunTrust Garage,Rollins College,NA,NA
15-151,2015-04-10,16:30,HARASSMENT,Campus Safety Office,Rollins College,NA,NA
15-149,2015-04-09,11:15,LARCENY/ THEFT,NA,Rollins College,NA,NA
15-147,2015-04-07,15:11,"REFERRAL, DRUG",Ward Hall,Rollins College,NA,NA
15-142,2015-04-02,15:41,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Strong Hall,Rollins College,NA,NA
15-139,2015-04-01,08:00,VANDALISM,Campus Grounds,Rollins College,NA,NA
15-137,2015-03-31,11:49,LARCENY/ THEFT,Ward Hall,Rollins College,NA,NA
15-132,2015-03-30,03:00,VANDALISM,Campus Grounds,Rollins College,NA,NA
15-133,2015-03-30,02:30,LARCENY/ THEFT,Woolson House,Rollins College,NA,NA
15-125,2015-03-26,14:50,TRESPASS,Alfond Pool,Rollins College,NA,NA
15-123,2015-03-24,09:19,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-118,2015-03-22,23:54,VANDALISM,NA,Rollins College,NA,NA
15-116,2015-03-22,01:21,VANDALISM,Pugsley Hall,Rollins College,NA,NA
15-115,2015-03-21,22:48,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",NA,Rollins College,NA,NA
15-114,2015-03-21,09:15,VANDALISM,NA,Rollins College,NA,NA
15-111,2015-03-19,08:18,HARASSMENT,Hauck Hall,Rollins College,NA,NA
15-104,2015-03-14,01:30,"ASSAULT, AGGAVATED WITH HANDS/FISTS/FEET/TEETH",Campus Center/ CCC/ Skillman,Rollins College,NA,NA
15-100,2015-03-11,15:03,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-099,2015-03-11,13:38,HARASSMENT,Campus Grounds,Rollins College,NA,NA
15-094,2015-03-09,19:14,FIRE ALARM - NO FIRE,170 W. Fairbanks Bldg,Rollins College,NA,NA
15-091,2015-03-05,23:55,TRESPASS,Olin Lot,Rollins College,NA,NA
15-088,2015-03-02,14:30,"ASSAULT, SIMPLE",Cornell Social Science/ CSS,Rollins College,NA,NA
15-085,2015-02-26,14:30,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
15-084,2015-02-25,10:47,LARCENY/ THEFT,Olin Library,Rollins College,NA,NA
15-070,2015-02-19,11:22,FIRE ALARM - NO FIRE,"Boat House, Alfond",Rollins College,NA,NA
15-068,2015-02-17,18:16,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-067,2015-02-16,17:17,LARCENY/ THEFT,Alfond Sports Center,Rollins College,NA,NA
15-064,2015-02-11,17:00,VANDALISM,Campus Grounds,Rollins College,NA,NA
15-061,2015-02-10,21:30,HARASSMENT,Fairbanks Ave.,Rollins College,NA,NA
15-056,2015-02-08,12:55,"ASSAULT, AGGRAVATED WITH KNIFE/ CUTTING INSTRUMENT",Cornell Fine Arts Museum/ CFAM,Rollins College,NA,NA
15-049,2015-02-03,22:40,"REFERRAL, DRUG",NA,Rollins College,NA,NA
15-046,2015-02-01,03:40,TRESPASS,Campus Grounds,Rollins College,NA,NA
15-042,2015-01-29,07:34,VANDALISM,SunTrust Garage,Rollins College,NA,NA
15-043,2015-01-28,22:30,VANDALISM,SunTrust Garage,Rollins College,NA,NA
15-039,2015-01-27,11:12,INTIMIDATION,Ward Hall,Rollins College,NA,NA
15-037,2015-01-27,07:03,VANDALISM,McKean Hall,Rollins College,NA,NA
15-032,2015-01-22,18:05,LARCENY/ THEFT,Baseball/ Alfond Stadium/ Butler Bldg,Rollins College,NA,NA
15-030,2015-01-21,18:05,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-029,2015-01-21,14:57,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
15-020,2015-01-19,15:15,VANDALISM,SunTrust Garage,Rollins College,NA,NA
15-018,2015-01-15,17:17,HARASSMENT,"Park Ave, Campus",Rollins College,NA,NA
15-015,2015-01-13,22:22,INTIMIDATION,Campus Grounds,Rollins College,NA,NA
15-014,2015-01-13,14:55,HARASSMENT,NA,Rollins College,NA,NA
15-012,2015-01-13,02:39,FIRE ALARM - FIRE,Hooker Hall,Rollins College,NA,NA
15-004,2015-01-07,22:22,TRESPASS,Holt Ave./ Campus,Rollins College,NA,NA
15-001,2015-01-03,05:55,TRESPASS,Campus Grounds,Rollins College,NA,NA
