Classification,Incident Number,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Noise,18UV005348,09/01/2018,0019,09/01/2018,0019,Simpson,Closed
Intoxication / Medical Assist / Alcohol Offense,18UV005349,09/01/2018,0027,09/01/2018,0027,Patterson,Closed; UVM Rescue transported non affiliate to UVMMC;  alcohol ticket issued & report to CSC
Larceny / Citizen Assist,18UV005350,09/01/2018,0052,09/01/2018,0037,Davis Center Outside,Open
Agency Assist,18UV005354,09/01/2018,0411,09/01/2018,0411,284 East Ave,Closed; Assist to BPD
Fire Alarm,18UV005355,09/01/2018,1033,09/01/2018,1033,UVM Outing Club,Closed
Intoxication / Medical Assist,18UV005356,09/01/2018,2151,09/01/2018,2151,Redstone Hall,Closed; affiliate transported to UVM MC ER via UVM Rescue; report to CSC
Intoxication / Medical Assist,18UV005363,09/01/2018,2316,09/01/2018,2316,Harris Mill,Closed; affiliate transported to UVM MC ER via UVM Rescue; report to CSC
Drugs / Noise,18UV005365,09/01/2018,2350,09/01/2018,2350,Redstone Lofts Outside,Closed
Suspicious Behavior,18UV005366,09/02/2018,0019,09/02/2018,0019,Tupper Hall Outside,Closed; non substantiated
Welfare Check / Alcohol Offense,18UV005367,09/02/2018,0020,09/02/2018,0020,Simpson Hall,Closed; affiliate located & report to CSC
Agency Assist,18UV005368,09/02/2018,0038,09/02/2018,0038,UVM Police Services,Closed; assist to Burlington Police
Blue Light Alarm,18UV005369,09/02/2018,0055,09/02/2018,0055,Jacob's House Outside,Closed
Drugs / Medical Assist,18UV005370,09/02/2018,0112,09/02/2018,0112,University Hgts North 1,Closed; affiliate transported to UVM MC ER via UVM Rescue; report to CSC
Drugs,18UV005371,09/02/2018,0136,09/02/2018,0136,Trinity Campus Outside,Closed; report to CSC
Welfare Check,18UV005372,09/02/2018,0203,09/02/2018,0203,S Prospect St / College St,Closed; subject located
Blue Light Alarm,18UV005373,09/02/2018,0205,09/02/2018,0205,Wheeler House Outside,Closed
Intoxication / Medical Assist,18UV005375,09/02/2018,0250,09/02/2018,0250,Harris Hall,Closed; referred to UVM Rescue & report to CSC
Medical Assist,18UV005377,09/02/2018,0334,09/02/2018,0334,Slade Hall,Closed; affiliate transported to UVM MC ER via UVM Rescue
Agency Assist /  Assault / Unlawful Mischief,18UV005378,09/02/2018,0538,09/02/2018,0538,UVM Medical Center ER,Closed; assist to Burlington Police; non affiliate cited into court for assault w/bodily fluids & unlawful mischief
Citizen Assist,18UV005380,09/02/2018,0858,09/02/2018,0858,PFG,Closed
Larceny,18UV005381,09/02/2018,1238,08/31/2018 - 09/02/2018,1400 - 1030,Wright Hall Outside,Open
Agency Assist,18UV005383,09/02/2018,1522,09/02/2018,1522,PFG Roadway,Closed; assist to Vermont State Police & U.S. Secret Service
Intoxication / Medical Assist,18UV005384,09/02/2018,1952,09/02/2018,1952,Living & Learning,Closed; referred to UVM Rescue & report to CSC
Citizen Assist,18UV005385,09/02/2018,1953,09/02/2018,1953,Trinity Campus,Closed
Citizen Assist / Safety Escort,18UV005386,09/02/2018,2008,09/02/2018,2008,Living & Learning,Closed
Lewd & Lascivious Conduct / Fondling,18UV005387,09/02/2018,2153,09/01-02/2018,Unk,CCRH,Closed; referred to Title IX Coordinator
Drugs,18UV005389,09/02/2018,2235,09/02/2018,2235,Slade Hall,Closed; report to CSC
Medical Assist / Drugs,18UV005391,09/02/2018,2338,09/02/2018,2338,Redstone Lofts Outside,Closed; affiliate transported to UVM MC ER via UVM Rescue; report to CSC
Agency Assist / Burglary Alarm,18UV005393,09/02/2018,2359,09/02/2018,2359,"Dorset St, So. Burlington",Closed; assist to So. Burlington Police
Drugs / Noise,18UV005395,09/03/2018,0139,09/03/2018,0139,Harris Millis Outside,Closed; noise warning issued & report to CSC
Medical Assist / Intoxication,18UV005396,09/03/2018,0307,09/03/2018,0307,Harris Hall,Closed; affiliate transported to UVM MC ER via UVM Rescue; report to CSC
Anonymous Late Reported Sexual Assault,18UV005401,09/03/2018,1058,09/2017 & 10/2016,Unk,Harris Hall,Closed; referred to Title IX Coordinator
Blue Light Alarm,18UV005403,09/03/2018,1639,09/03/2018,1639,Simpson Hall Outside,Closed
Citizen Assist / Safety Escort,18UV005408,09/03/2018,2145,09/03/2018,2145,University Hgts North 2,Closed
Agency Assist / Trespassing,18UV005415,09/04/2018,0408,09/04/2018,0408,"Williston Rd, So. Burlington",Closed; assist to So. Burlington Police & trespass warning issued
Motor Vehicle Complaint / Theft of Service,18UV005419,09/04/2018,1013,09/04/2018,1013,PFG Outside,Closed; report to CSC
Citizen Assist,18UV005420,09/04/2018,1113,09/04/2018,1113,Jeffords Hall Outside,Closed
Larceny,18UV005423,09/04/2018,1620,08/29/18 - 09/04/2018,1000-1000,Mercy Hall Bike Rack,Open
Property Damage,18UV005427,09/04/2018,1906,09/04/2018,Unk-1300,East Commuter Parking Lot,Closed
Medical Assist,18UV005428,09/04/2018,2004,09/04/2018,2004,UHC Parking Lot,Closed; non affiliate transported to UVM MC ER
Citizen Assist,18UV005430,09/04/2018,2057,09/04/2018,2057,Mason Hall,Closed
Drugs,18UV005432,09/04/2018,2124,09/04/2018,2124,Redstone Pines,Closed; report to CSC
Unsecured Premise,18UV005437,09/04/2018,2232,09/04/2018,2232,Morrill Hall,Closed
Anonymous Late Reported Fondling,18UV005441,09/04/2018,2321,08/06-23/2018,Various,MSH & WDW,Closed; referred to Title IX Coordinator
Medical Assist,18UV005446,09/05/2018,0841,09/05/2018,0841,University Hgts South 1,Closed; affiliate transported to UVM MC ER
Welfare Check,18UV005447,09/05/2018,0855,09/05/2018,0855,Millis Hall,Closed; affiliate located and referred to UVM Cares
Vandalism,18UV005448,09/05/2018,0942,09/04-05/2018,1230-0932,Parking Garage,Closed; affiliate cited into court for Unlawful Mischief; report to CSC
Welfare Check,18UV005454,09/05/2018,1509,09/05/2018,1509,Health Science Research Facility,Closed; non affiliate located
Agency Assist / Accident,18UV005455,09/05/2018,1602,09/05/2018,1602,"Williston Rd, So. Burlington",Closed; assist to So. Burlington Police
Larceny,18UV005458,09/05/2018,2117,09/04-5/2018,1900-0930,University Hgts South 1 Outside,Open
Motor Vehicle Complaint / Suspicious Behavior,18UV005459,09/05/2018,2209,09/05/2018,2209,S Prospect St @ Redstone Apts,Closed; non substantiated
Unsecured Premise,18UV005463,09/05/2018,2241,09/05/2018,2241,Living & Learning,Closed
Suspicious Behavior,18UV005464,09/05/2018,2244,09/05/2018,2244,Catholic Center Outside,Closed; report to Risk Mgmt
Noise,18UV005466,09/05/2018,2314,09/05/2018,2314,Wing Davis Wilks Parking Lot,Closed; non substantiated
Unsecured Premise,18UV005470,09/06/2018,0204,09/06/2018,0204,Johnson House,Closed
ATM Alarm,18UV005472,09/06/2018,0800,09/06/2018,0800,Waterman,Closed
Accident - Leaving the Scene,18UV005480,09/06/2018,1653,09/06/2018,0800-1650,Pomeroy Parking Lot,Open
Lewd & Lascivious,18UV005481,09/06/2018,1705,09/01/2018,Unk,Unknown Campus Location,Closed; referred to Title IX Coordinator
Intrusion Alarm,18UV005484,09/06/2018,1801,09/06/2018,1801,Southwick,Closed
Vandalism,18UV005487,09/06/2018,1838,09/06/2018,0745-1830,Given Parking Lot,Open
Fire Alarm,18UV005489,09/06/2018,2103,09/06/2018,2103,Christie Wright Patterson,Closed
Welfare Check,18UV005490,09/06/2018,2257,09/06/2018,2257,Harris Hall,Closed; affiliate referred to UVM MC ER Crisis Services & UVM Cares
Medical Assist / Alcohol Offense,18UV005491,09/07/2018,0106,09/07/2018,0106,Davis Hall,Closed; UVM Rescue evaluated on scene; Report to CSC
Citizen Assist / Safety Escort,18UV005492,09/07/2018,0204,09/07/2018,0204,UVM Medical Center,Closed
Animal Problem,18UV005497,09/07/2018,1309,09/07/2018,1309,Jeffords Hall Parking Lot,Closed; affiliate issued municipal ordinance violation for Confinement of Animals in Vehicle & report to CSC
Threats / Harassment,18UV005500,09/07/2018,1548,08/31/2018 - 09/04/2018,Unk,Redstone Hall Outside,Closed; referred to Title IX Coordinator
Larceny,18UV005501,09/07/2018,1713,Unk,Unk,PFG,Open
Larceny,18UV005502,09/07/2018,1740,Unk,Unk,PFG,Open
Motorist Assist,18UV005505,09/07/2018,1854,09/07/2018,1854,University Hgts / Main St,Closed
Suspicious Behavior / Violation Conditions of Release / Intoxication,18UV005508,09/07/2018,2141,09/07/2018,2141,Coolidge Hall Outside,Closed; non affiliate cited into court for Violation Conditions of Release & referred to ACT 1 & Corrections for Detox
Fire Alarm,18UV005509,09/07/2018,2145,09/07/2018,2145,Harris Millis,Closed
Welfare Check,18UV005512,09/07/2018,2302,09/07/2018,2302,University Hgts North 2,Closed; affiliate located and referred to UVM Cares
Citizen Assist / Safety Escort,18UV005514,09/08/2018,0009,09/08/2018,0009,Coolidge Hall,Closed
Blue Light Alarm,18UV005515,09/08/2018,0144,09/08/2018,0144,Votey Outside,Closed
Agency Assist / Alcohol Offense / Welfare Check,18UV005516,09/08/2018,0201,09/08/2018,0201,Allen House Parking Lot,Closed; assist to Burlington Police & report to CSC
Agency Assist / Intoxication,18UV005517,09/08/2018,0213,09/08/2018,0213,Johnson House Parking Lot,Closed; assist to Burlington Police w/locating non affiliate
Fire Alarm,18UV005518,09/08/2018,0346,09/08/2018,0346,Englesby House,Closed
Vandalism,18UV005519,09/08/2018,0714,09/07/2018,2300,Harris Dining,Open
Agency Assist / Accident - Property Damage,18UV005521,09/08/2018,1036,09/08/2018,1036,US Post Office - White St S Burlington,Closed; Assist to S Burlington Police
Welfare Check,18UV005528,09/08/2018,1606,09/08/2018,1606,University Hgts North 2,Closed ; referred to UVM Medical Center by UVM Police & UVM Cares
Blue Light Alarm / Citizen Assist,18UV005531,09/08/2018,1830,09/08/2018,1830,Jeanne Mance,Closed ; subject escorted  to UVM Medical Center
Medical / Drugs,18UV005532,09/08/2018,1842,09/08/2018,1842,Wilks Hall,Closed; subject referred to UVM Medical Center by UVM Rescue; report to CSC
Alcohol Offense,18UV005536,09/08/2018,2336,09/08/2018,2336,Harris Hall,Closed; report to CSC
Agency Assist,18UV005537,09/09/2018,0029,09/09/2018,0029,Cumberland Farms - Riverside Ave Burlington,Closed; Assist to Burlington Police
Drug Possession,18UV005538,09/09/2018,0129,09/09/2018,0129,Marsh Hall,Closed ; report to CSC
Disturbance / Drugs,18UV005539,09/09/2018,0156,09/09/2018,0156,Harris Hall,Closed; report to CSC
Alcohol Offense,18UV005540,09/09/2018,0203,09/09/2018,0203,Living and Learning A,Closed; report to CSC; UVM Rescue evaluated on scene
Intrusion Alarm,18UV005541,09/09/2018,0901,09/09/2018,0901,Fleming,Closed
Agency / Medical Assist,18UV005545,09/09/2018,1316,09/09/2018,1316,Colchester Ave / Mansfield Ave,Closed; assist to Burlington Police & Fire
911 Hang Up,18UV005546,09/09/2018,1401,09/09/2018,1401,Davis Center,Closed
Citizen Assist,18UV005549,09/09/2018,1947,09/09/2018,1947,Virtue Field,Closed
Sexual Assault,18UV005551,09/09/2018,2053,09/09/2018,0230,Christie Wright Patterson,Open; referred to Title IX Coordinator
Welfare Check,18UV005553,09/09/2018,2244,09/09/2018,2244,Main St / East Ave,Closed; non affiliate located
Agency Assist / Retail Theft,18UV005554,09/09/2018,2330,09/09/2018,2330,"Williston Rd, So. Burlington",Closed; assist to So. Burlington Police
Citizen Assist / Safety Escort,18UV005555,09/10/2018,0106,09/10/2018,0106,Colchester Ave,Closed
Sexual Assault,18UV005556,09/10/2018,0113,09/08/2018,Unk,Wright Hall,Open; referred to Title IX coordinator; Duplicate Incident to 2018-5637
Assault on Law Enforcement / Trespassing / Disorderly Conduct,18UV005557,09/10/2018,0121,09/10/2018,0121,CCRH,"Closed; non affiliate lodged at corrections for Assault on Law Enforcement,  Trespassing, & Disorderly Conduct"
Medical Assist,18UV005558,09/10/2018,0446,09/10/2018,0446,Austin Hall,Closed; referred to UVM Rescue
ATM Alarm,18UV005559,09/10/2018,0539,09/10/2018,0539,Davis Center,Closed
Citizen Assist,18UV005561,09/10/2018,0742,09/10/2018,0742,UVM Police Services,Closed
Larceny from Motor Vehicle,18UV005562,09/10/2018,1128,09/10/2018,1104,Patrick Gym Lot,Open
Citizen Assist,18UV005566,09/10/2018,1956,09/10/2018,1956,Gutterson Parking Garage,Closed
ATM Alarm,18UV005569,09/10/2018,2225,09/10/2018,2225,Davis Center,Closed
Agency Assist / Service of Court Paperwork,18UV005577,09/11/2018,1246,09/11/2018,1246,UVM Police Services,Closed; assist to Chittenden Family Court
Medical Assist,18UV005582,09/11/2018,1417,09/11/2018,1417,Wright Hall,Closed; affiliate transported to UVM MC by UVM Rescue
Citizen Assist,18UV005584,09/11/2018,1631,09/11/2018,1631,Kalkin Building outside,Closed
Suspicious Event,18UV005586,09/11/2018,1744,09/11/2018,1744,East Commuter Lot,Closed
Intrusion Alarm,18UV005588,09/11/2018,1849,09/11/2018,1849,Fleming Museum,Closed
Unsecure Premise,18UV005589,09/11/2018,1911,09/11/2018,1911,Jeffords Building,Closed
Building/Room Lockout / Citizen Assist,18UV005590,09/11/2018,1932,09/11/2018,1932,Mansfield House,Closed
Larceny - Building,18UV005591,09/11/2018,1937,09/04-09/11/2018,Unk,Living & Learning,Closed
Suspicious Event,18UV005593,09/11/2018,2008,09/11/2018,1030,Living & Learning Campus Childrens School,Open
Fire Alarm,18UV005594,09/11/2018,2020,09/11/2018,2020,University Heights North,Closed
Fire Alarm,18UV005595,09/11/2018,2110,09/11/2018,2110,Jeanne Mance Hall,Closed
Fire Alarm,18UV005596,09/11/2018,2138,09/11/2018,2138,Slade Hall,Closed
Fire Alarm,18UV005599,09/11/2018,2226,09/11/2018,2226,University Heights South,Closed
Welfare Check,18UV005602,09/11/2018,2338,09/11/2018,2338,Bailey Howe Outside,Closed; unable to locate
Intrusion Alarm,18UV005605,09/12/2018,0729,09/12/2018,0729,Billings Special Collections,Closed
Larceny - Bicycle,18UV005609,09/12/2018,1108,09/10-09/12/2018,Unk,Wright Hall outside,Closed
Agency Assist / Accident,18UV005610,09/12/2018,1119,09/12/2018,1119,East Ave / Carrigan Dr,Closed; assist to Burlington Police
Welfare Check,18UV005617,09/12/2018,1739,09/12/2018,1739,University Terrace,Closed; affiliate located
Accident - Property Damage,18UV005618,09/12/2018,1848,09/12/2018,1848,Morrill Hall Lot,Closed
Suspicious Event,18UV005619,09/12/2018,1956,09/12/2018,1956,South Prospect St,Closed
Fire Alarm,18UV005622,09/12/2018,2234,09/12/2018,2234,McAuley Hall,Closed
Threats/Harassment,18UV005626,09/13/2018,0011,03/2018-present,Various,Jeanne Mance Hall,Open
Citizen Assist / Suspicious Event,18UV005628,09/13/2018,0836,09/12-09/13/2018,Unknown,Dana Medical Library,Closed
Welfare Check,18UV005629,09/13/2018,0846,09/13/2018,0846,Given Courtyard,Closed; affiliate located and referred to CARES
Suspicious Event / Trespass,18UV005631,09/13/2018,1004,09/13/2018,1004,Kalkin Building,Closed
Suspicious Event,18UV005635,09/13/2018,1109,08/31/2018,2000-2200,Trinity Campus,Closed
Agency Assist / Accident,18UV005636,09/13/2018,1237,09/13/2018,1237,East Ave / Carrigan Dr,Closed; assist to Burlington Police
Sexual Assault,18UV005637,09/13/2018,1328,09/08 - 09/09/2018,Unk,Wright Hall,Open; referred  to Title IX; Duplicate Incident to: 2018-5556
Suspicious Event / Trespass,18UV005640,09/13/2018,1623,09/12 - 09/13/2018,1900-1623,Kalkin Building,Open
Citizen Assist,18UV005641,09/13/2018,1732,09/13/2018,1732,CCRH,Closed
Late Reported Sexual Assault,18UV005642,09/13/2018,1835,Unk,Unk,Unknown campus location,Closed; referred  to Title IX
Trespass,18UV005650,09/14/2018,0024,09/14/2018,0024,Hills Building,Closed
Disorderly Conduct,18UV005651,09/14/2018,0044,09/14/2018,0044,CCRH outside,Closed
Fire Alarm,18UV005652,09/14/2018,0128,09/14/2018,0128,McAuley Hall,Closed
Safety Escort,18UV005653,09/14/2018,0421,09/14/2018,0421,Williams Hall,Closed
Suspicious Event,18UV005660,09/14/2018,1146,Unk,Unk,Waterman,Closed
Panic Alarm,18UV005663,09/14/2018,1312,09/14/2018,1312,Continuing Education,Closed
Disorderly Conduct / Assault,18UV005668,09/14/2018,1829,09/14/2018,1829,Fleming Museum Outside,Open
Stalking / Lewd & Lascivious,18UV005669,09/14/2018,1836,Spring 2018 - 9/14/2018,Various,UVM Campus,Open; referred to Title IX Coordinator
Welfare Check,18UV005670,09/14/2018,1948,09/14/2018,1948,Mansfield House Outside,Closed; non affiliate transported to UVM MC ER
Medical Assist,18UV005671,09/14/2018,2004,09/14/2018,2004,Simpson Hall,Closed; affiliate transported to UVM MC ER
Anonymous Late Reported Sexual Assault,18UV005672,09/14/2018,2105,03/01/2018,Unk,Off Campus Location,Closed; referred to Title IX Coordinator
Welfare Check / Drugs,18UV005681,09/15/2018,0207,09/15/2018,0207,CCRH,Closed; affiliate located & report to CSC
Intoxication / Medical Assist,18UV005683,09/15/2018,0235,09/15/2018,0235,Harris Hall,Closed; affiliate transported to UVM MC ER & report to CSC
Intoxication / Medical Assist,18UV005684,09/15/2018,0305,09/15/2018,0305,Wilks Hall,Closed; affiliate transported to UVM MC ER & report to CSC
Fire Alarm,18UV005686,09/15/2018,0659,09/15/2018,0659,Outing Club,Closed
Citizen Assist,18UV005687,09/15/2018,0741,09/15/2018,0741,UVM Police Services,Closed
Agency Assist / Background Check,18UV005688,09/15/2018,0803,09/15/2018,0803,UVM Police Services,Closed; assist to U.S. Immigration & Customs Enforcement
Fire Alarm,18UV005689,09/15/2018,0931,09/15/2018,0931,McAuley Hall,Closed
Suspicious Behavior / Mental Health Issue,18UV005690,09/15/2018,1012,09/15/2018,1012,UVM Police Services,Closed
Citizen Assist,18UV005691,09/15/2018,1042,09/15/2018,1042,Pomeroy Hall,Closed
Medical Assist,18UV005694,09/15/2018,1816,09/15/2018,1816,Harris Millis Dining,Closed; affiliate referred to UVM Rescue
Welfare Check / Drugs,18UV005695,09/15/2018,1838,Unk,Unk,Mercy & Mason Hall,Closed
 University Policy Violation,18UV005696,09/15/2018,1906,09/15/2018,1906,Williams Hall Fire Escape,Closed; trespassing warning issued
Animal Problem,18UV005697,09/15/2018,1928,09/15/2018,1928,Living & Learning,Closed
Agency Assist / Paperwork Service,18UV005699,09/15/2018,2002,09/15/2018,2002,S Willard St,Closed; assist to Colchester Police
Intoxication / Welfare Check,18UV005700,09/15/2018,2051,09/15/2018,2051,Colchester Ave @ UVM MC,Closed; non affiliate located and referred to corrections for detox
Blue Light Alarm,18UV005701,09/15/2018,2057,09/15/2018,2057,Jacob's House Outside,Closed
Blue Light Alarm,18UV005704,09/15/2018,2207,09/15/2018,2207,Jacob's House Outside,Closed
Agency Assist / Paperwork Service,18UV005705,09/15/2018,2216,09/15/2018,2215,"Chittenden Correction Center, So. Burlington",Closed; assist to St. Albans Police
Intoxication / Medical Assist,18UV005709,09/15/2018,2353,09/15/2018,2353,Billings Outside,Closed; affiliate transported to UVM MC ER for Detox; report to CSC
Suspicious Activity,18UV005710,09/15/2018,2355,09/15/2018,2355,CCRH Outside,Closed
Agency Assist,18UV005713,09/16/2018,0138,09/16/2018,0138,UVM Police Services,Closed; assist to Burlington Police
Blue Light Alarm,18UV005714,09/16/2018,0323,09/16/2018,0323,Hamilton Hall Outside,Closed
Suspicious Vehicle,18UV005716,09/16/2018,0853,09/16/2018,0853,PFG Parking Lot,Closed
Motorist Assist,18UV005718,09/16/2018,1213,09/16/2018,1213,University Hgts,Closed
Citizen Assist / VIN Verification,18UV005720,09/16/2018,1322,09/16/2018,1322,UVM Police Services,Closed
Medical Assist,18UV005721,09/16/2018,1450,09/16/2018,1450,Redstone Apts,Closed; affiliate referred to UVM Rescue
Medical Assist /Welfare Check,18UV005723,09/16/2018,1800,09/16/2018,1800,Simpson Hall,Closed; affiliate located and transported to UVM MC ER & UVM CAPS
Medical Assist,18UV005726,09/16/2018,2310,0916/2018,2310,University Hgts North 1,Closed; affiliate transported to UVM MC ER
Agency Assist / Background Check,18UV005729,09/17/2018,1357,09/17/2018,1357,UVM Police Services,Closed; assist to NY Department of Environmental Convservation
Information / Drugs,18UV005730,09/17/2018,1407,09/17/2018,1407,Harris Hall,Open
Citizen Assist,18UV005731,09/17/2018,1709,09/17/2018,1709,Given outside,Closed
Drugs,18UV005735,09/17/2018,2232,09/17/2018,2232,Simpson Hall,Closed; report to CSC
Drugs / Traffic / Agency Assist,18UV005736,09/17/2018,2320,09/17/2018,2320,"Williston Rd, S Burlington",Open; assist to Burlington Police
Welfare Check,18UV005737,09/18/2018,0012,09/18/2018,0012,Redstone Campus outside,Closed; affililaite located
Fire Alarm,18UV005738,09/18/2018,0200,09/18/2018,0200,Davis Center / Brennans,Closed
Medical Assist,18UV005739,09/18/2018,0252,09/18/2018,0252,Simpson Hall,Closed; affiliate transported to UVM MC by UVM Rescue
Intrusion Alarm,18UV005740,09/18/2018,0527,09/18/2018,0527,Morrill Hall,Closed
Information,18UV005743,09/18/2018,0848,09/18/2018,0848,Votey,Closed
Extortion,18UV005749,09/18/2018,1338,09/18/2018,1338,Redstone Apartments,Open
Suspicious Event,18UV005753,09/18/2018,1730,09/18/2018,0930,23 Mansfield Ave outside,Open
Unsecure Premise,18UV005756,09/18/2018,1954,09/18/2018,1954,Mann Hall,Closed
Fire Alarm,18UV005758,09/18/2018,2042,09/18/2018,2042,University Heights South,Closed
Information,18UV005764,09/19/2018,1050,09/19/2018,1050,UVM Campus,Open
Citizen Assist / Found Property,18UV005765,09/19/2018,1058,09/19/2018,1058,Living & Learning outside,Closed
Motorist Assist,18UV005766,09/19/2018,1104,09/19/2018,1104,Main St / East Ave,Closed
Suspicious Event / Trespass,18UV005767,09/19/2018,1216,09/19/2018,1216,Patrick Gym,Closed; non affiliate located in Burlington and issued trespass notice
Suspicious Event,18UV005768,09/19/2018,1244,09/19/2018,1244,Davis Center / Cat Pause,Open
Larceny - Bicycle,18UV005771,09/19/2018,1429,Unk,Unk,Billings outside,Open
Fraud,18UV005772,09/19/2018,1434,Unk,Unk,CCRH,Open
Fraud,18UV005773,09/19/2018,1451,Unk,Unk,Waterman,Open
Information,18UV005787,09/19/2018,1500,09/17/2018,1600-1800,Redstone Campus,Open
Vandalism,18UV005774,09/19/2018,1545,Unk,Unk,Tupper Hall,Open
Suspicious Event / Welfare Check / Safety Escort,18UV005775,09/19/2018,1723,09/19/2018,1723,Bittersweet Building / Living & Learning,Closed; affiliate located; referred to CARES.
Medical Assist,18UV005777,09/19/2018,2017,09/19/2018,2017,Davis Center,Closed; affiliate evaluated on scene by UVM Rescue
Stalking,18UV005778,09/19/2018,2140,09/12-09/19/2018,Unk,Harris-Millis,Open; referred to Title IX
Agency Assist / Alcohol,18UV005779,09/19/2018,2144,09/19/2018,2144,UVM Police Services,Closed; assist to Williston Police; report to CSC
Welfare Check / Safety Escort,18UV005782,09/19/2018,2259,09/19/2018,2259,Mercy Hall,Closed; affiliate located and given courtesy transport to UVM MC; referred to CARES
Fire Alarm,18UV005788,09/20/2018,0900,09/20/2018,0900,McAuley Hall,Closed
Medical Assist,18UV005790,09/20/2018,1040,09/20/2018,1040,Southwick/Music outside,Closed; affiliate transported to UVM MC by UVM Rescue
Agency Assist / Information,18UV005791,09/20/2018,1447,09/20/2018,1447,UVM Police Services,Closed; assist to UMass Lowell Police
Agency Assist / Safety Escort,18UV005792,09/20/2018,1538,09/20/2018,1538,Jacob's House,Closed; affiliate given courtesy transport to UVM MC
Accident - Property Damage,18UV005795,09/20/2018,1837,09/20/2018,1837,Gutterson lot,Closed
Fire Alarm,18UV005798,09/20/2018,2046,09/20/2018,2046,Nicholson House,Closed
Suspicious Event / Welfare Check,18UV005807,09/21/2018,0007,09/21/2018,0007,Davis Hall outside,Closed; unable to locate
Elevator Alarm,18UV005808,09/21/2018,0015,09/21/2018,0015,CCRH,Closed
Intoxication / Alcohol Offense,18UV005809,09/21/2018,0017,09/21/2018,0017,Main St Burlington,Closed; affiliate located and referred to ACT 1  for detox; report to CSC
Building/Room Lockout,18UV005813,09/21/2018,0145,09/21/2018,0145,Given,Closed
Accident - Property Damage,18UV005814,09/21/2018,0911,09/21/2018,0911,Living & Learning Parking Lot,Closed
Welfare Check,18UV005815,09/21/2018,1200,09/21/2018,1200,"UVM Police Services & Shelburne Rd, Burlington",Closed; affiliate located & referred to UVM Cares
Stalking / Threats/Harassment,18UV005816,09/21/2018,1242,09/21/2018,1242,Davis Center,Closed; referred to Title IX Coordinator; Duplicate Incident to 2018-5917
Agency Assist / Background Check,18UV005817,09/21/2018,1352,09/21/2018,1352,UVM Police Services,Closed; assist to New Jersey State Police
Suspicious Event,18UV005821,09/21/2018,1541,Unk,Unk,"UVM Morgan Horse Farm, Weybridge, VT",Closed; trespass notice issued to non affiliate
Fire Alarm,18UV005822,09/21/2018,1544,09/21/2018,1544,Mercy Hall,Closed
Citizen Assist,18UV005823,09/21/2018,1555,09/21/2018,1555,Hunt Hall,Closed
Citizen Assist,18UV005824,09/21/2018,1610,09/21/2018,1610,Wing Hall,Closed
Larceny,18UV005825,09/21/2018,1630,09/17-21/2018,1300-1630,Davis Hall Parking Lot,Open
Medical Assist,18UV005826,09/21/2018,1750,09/21/2018,1750,McAuley Hall Outside,Closed; affiliate transported to UVM MC ER
Medical Assist / Welfare Check,18UV005829,09/21/2018,1929,09/21/2018,1929,CCRH,Closed; affiliate transported to UVM MC ER & referred to CAPS
Suspicious Behavior,18UV005830,09/21/2018,1943,09/21/2018,1928,MAT Outside,Closed
Intrusion Alarm,18UV005831,09/21/2018,1954,09/21/2018,1954,Fleming,Closed
Drugs / Noise,18UV005832,09/21/2018,2240,09/21/2018,2240,Redstone Lofts,"Closed; drugs non substantiated, noise warning issued"
Burglary,18UV005833,09/21/2018,2253,09/21/2018,Unk,Mason Hall,Open
Agency Assist / Accident,18UV005834,09/21/2018,2316,09/21/2018,2316,"Williston Rd, So. Burlington",Closed; assist to So. Burlington Police
Agency Assist / Disturbance,18UV005835,09/22/2018,0018,09/22/2018,0018,"Twin Oaks Ter, So. Burlington",Closed; assist to So. Burlington Police
Welfare Check,18UV005836,09/22/2018,0046,09/22/2018,0046,Austin Hall,Closed
Medical Assist / Alcohol Offense,18UV005837,09/22/2018,0051,09/22/2018,0051,Millis Hall,Closed; referred to UVM Rescue & report to CSC
Alcohol Offense,18UV005838,09/22/2018,0103,09/22/2018,0103,Austin Hall,Closed; report to CSC
Fire Alarm,18UV005839,09/22/2018,0112,09/22/2018,0112,Wilks Hall,Closed
Citizen Assist,18UV005839,09/22/2018,0320,09/22/2018,0320,Millis Hall,Closed
Welfare Check,18UV005842,09/22/2018,1139,09/22/2018,1139,East Ave / Main St,Closed; non affiliate located
Intrusion Alarm,18UV005844,09/22/2018,1717,09/22/2018,1717,Fleming,Closed
Accident - Leaving the Scene / Alcohol Offense / Medical Assist,18UV005847,09/23/2018,0058,09/23/2018,0058,Redstone Apts Parking Lot,Closed; affiliate cited into court for Leaving the Scene of an Accident & alcohol tickets issued; affiliate transported to UVM MC ER; report to CSC
Medical Assist / Alcohol Offense,18UV005848,09/23/2018,0210,09/23/2018,0210,CCRH,Closed; affiliate referred to UVM Rescue & report to CSC
Welfare Check,18UV005849,09/23/2018,0247,09/23/2018,0247,Patterson Hall,Closed
Medical Assist,18UV005851,09/23/2018,1403,09/23/2018,1403,PFG,Closed; affiliate transported to UVM MC ER via UVM Rescue
Burglary,18UV005852,09/23/2018,1503,09/20-23/2018,Unk-1430,Southwick,Open
Citizen Assist,18UV005854,09/23/2018,2143,09/23/2018,2143,Southwick,Closed
Intrusion Alarm,18UV005858,09/24/2018,0130,09/24/2018,0130,Waterman,Closed
