year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio
2019,SUNY at Albany,6,43,9,139,10,43,0,0,4,196060,Public,4-year,44726,27136,27136,23290,23290,40880,13296,13296,30886,0.54,80,13286,12568,0.16,0.15,0.08,0.47,0.08,0.43,0.18,0.19,0.91,0.05,0.03,17544,14676,63,NA,NA,0.21,0.42,0,0.3,0.06,0.01,0.01,4625,NA,NA,-73.824662,42.685489,Semester,540,630,620,550,18
2014,Syracuse University,11,254,65,271,60,254,32,0,0,196413,Private not-for-profit,4-year,59320,59320,59320,59320,59320,59320,44860,44860,44860,0.53,92,15224,14532,0.08,0.09,0.06,0.52,0.08,0.56,0.11,0.09,0.33,0.54,0.13,21492,19356,80,0.73,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136738,43.040525,Semester,550,660,620,520,16
2015,Syracuse University,20,321,90,256,56,321,23,0,0,196413,Private not-for-profit,4-year,61242,61242,61242,61242,61242,61242,46362,46362,46362,0.48,91,15196,14566,0.07,0.09,0.06,0.52,0.08,0.55,0.1,0.08,0.33,0.53,0.13,21789,19331,81,0.71,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136633,43.040005,Semester,560,660,630,530,16
2016,Syracuse University,4,100,59,47,19,100,4,0,1,196413,Private not-for-profit,4-year,63344,63344,63344,63344,63344,63344,48127,48127,48127,0.52,91,15218,14607,0.07,0.08,0.06,0.53,0.07,0.56,0.1,0.08,0.31,0.56,0.14,21970,19153,82,0.73,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136975,43.040176,Semester,560,660,630,530,15
2017,Syracuse University,20,196,84,93,27,196,13,0,0,196413,Private not-for-profit,4-year,65480,65480,65480,65480,65480,65480,49922,49922,49922,0.47,91,15252,14675,0.07,0.08,0.06,0.54,0.07,0.57,0.09,0.07,0.3,0.56,0.14,22484,19238,83,0.79,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136975,43.040176,Semester,580,680,670,580,15
2018,Syracuse University,20,166,78,144,26,166,8,0,0,196413,Private not-for-profit,4-year,70636,70636,70636,70636,70636,70636,55086,55086,55086,0.5,90,15226,14655,0.07,0.08,0.06,0.53,0.07,0.57,0.09,0.06,0.3,0.56,0.14,22803,19184,83,0.82,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NY,1,-76.136975,43.040176,Semester,590,700,670,590,15
2019,Syracuse University,24,226,75,147,37,226,5,0.06027397260273973,0,196413,Private not-for-profit,4-year,73069,73069,73069,73069,73069,73069,57159,57159,57159,0.44,92,15275,14727,0.07,0.09,0.06,0.53,0.06,0.56,0.09,0.06,0.27,0.55,0.18,22850,19232,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-76.136975,43.040176,Semester,600,710,670,580,15
2014,Texas A & M University-College Station,10,573,76,397,24,573,4,0,0,228723,Public,4-year,39873,22975,22975,22975,22975,39873,13453,13453,30351,0.71,90,47093,42129,0.03,0.18,0.06,0.61,0.05,0.66,0.21,0.03,0.95,0.05,0.01,61642,53817,79,0.78,0.32,0.15,0.19,0,0.13,0.26,0.08,0.2,201464,TX,1,-96.340322,30.613226,Semester,560,670,640,520,20
2015,Texas A & M University-College Station,13,408,87,430,52,408,6,0,0,228723,Public,4-year,43364,24772,24772,24772,24772,43364,14434,14434,33026,0.67,90,48959,43531,0.03,0.19,0.06,0.59,0.06,0.64,0.22,0.03,0.94,0.05,0,63813,55471,79,0.77,0.33,0.19,0.22,0,0.16,0.11,-0.01,0.32,175369,TX,1,-96.340322,30.613226,Semester,550,670,640,520,20
2016,Texas A & M University-College Station,44,783,168,541,82,783,40,0,0,228723,Public,4-year,48456,28278,28278,28278,28278,48456,17910,17910,38088,0.67,91,50735,45091,0.03,0.2,0.07,0.59,0.06,0.63,0.23,0.03,0.94,0.05,0.01,65632,56924,80,0.75,0.34,0.18,0.22,0,0.14,0.12,0.03,0.31,171057,TX,1,-96.336475,30.618726,Semester,550,670,640,520,21
2017,Texas A & M University-College Station,67,668,166,361,70,668,6,0,0,228723,Public,4-year,53848,28476,28476,28476,28476,53848,18108,18108,43480,0.71,92,53065,46724,0.03,0.21,0.07,0.57,0.07,0.62,0.23,0.03,0.94,0.04,0.01,67929,58523,82,0.76,0.32,0.19,0.2,0,0.14,0.09,0.04,0.33,182820,TX,1,-96.336475,30.618726,Semester,570,690,670,570,21
2018,Texas A & M University-College Station,78,557,215,340,85,557,1,0,0,228723,Public,4-year,55131,29506,29506,29506,29506,55131,19070,19070,44695,0.68,92,53743,47399,0.03,0.21,0.08,0.56,0.08,0.6,0.24,0.03,0.94,0.05,0.01,68679,59220,82,0.76,0.3,0.2,0.22,0,0.15,0.11,0.05,0.27,209128,TX,1,-96.336475,30.618726,Semester,590,700,680,580,20
2019,Texas A & M University-College Station,61,421,130,262,60,421,1,0,0,228723,Public,4-year,56532,30083,30083,30083,30083,56532,19683,19683,46132,0.58,93,53791,47667,0.03,0.22,0.08,0.55,0.08,0.59,0.25,0.03,0.95,0.05,0.01,68726,59447,82,NA,NA,0.18,0.19,0,0.15,0.1,0.02,0.36,207162,NA,NA,-96.336475,30.618726,Semester,580,710,680,580,21
2014,Texas Christian University,9,76,27,87,26,76,0,0,0,228875,Private not-for-profit,4-year,53730,53730,53730,53730,53730,53730,42350,42350,42350,0.49,90,8647,8338,0.05,0.11,0.03,0.73,0.03,0.74,0.11,0.05,0.44,0.51,0.04,10033,9552,75,0.77,0.27,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,550,650,630,530,13
2015,Texas Christian University,10,148,20,94,25,148,0,0,0,228875,Private not-for-profit,4-year,58270,58270,58270,58270,58270,58270,46470,46470,46470,0.43,90,8894,8586,0.05,0.11,0.03,0.72,0.03,0.73,0.11,0.05,0.45,0.51,0.04,10324,9849,76,0.81,0.28,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,550,650,630,530,13
2016,Texas Christian University,15,83,48,125,25,83,0,0,0,228875,Private not-for-profit,4-year,60420,60420,60420,60420,60420,60420,48420,48420,48420,0.38,91,8891,8608,0.05,0.12,0.03,0.71,0.03,0.72,0.12,0.05,0.43,0.53,0.04,10394,9969,77,0.8,0.29,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,540,650,630,530,13
2017,Texas Christian University,9,138,31,69,29,138,1,0,0,228875,Private not-for-profit,4-year,62970,62970,62970,62970,62970,62970,50230,50230,50230,0.41,91,9011,8738,0.06,0.13,0.03,0.69,0.03,0.71,0.13,0.05,0.43,0.53,0.04,10489,10092,83,0.8,0.3,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.361537,32.709568,Semester,560,670,660,570,13
2018,Texas Christian University,3,106,28,67,26,106,2,0,0,228875,Private not-for-profit,4-year,65684,65684,65684,65684,65684,65684,52540,52540,52540,0.41,92,9445,9162,0.06,0.14,0.03,0.68,0.03,0.69,0.14,0.06,0.4,0.55,0.05,10918,10486,83,0.83,0.3,NA,NA,NA,NA,NA,NA,NA,NA,TX,1,-97.364758,32.70961,Semester,570,683,660,580,13
2019,Texas Christian University,5,113,27,75,22,113,0,0,0,228875,Private not-for-profit,4-year,68414,68414,68414,68414,68414,68414,54874,54874,54874,0.47,91,9474,9219,0.05,0.14,0.03,0.67,0.03,0.68,0.15,0.05,0.43,0.53,0.04,11024,10623,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-97.364758,32.70961,Semester,570,680,670,580,13
2014,Texas State University,8,215,159,173,75,215,0,0,0,228459,Public,4-year,30846,20710,20710,20710,20710,30846,15930,15930,26066,0.73,76,32177,26234,0.08,0.32,0.02,0.52,0.02,0.51,0.33,0.08,0.98,0.01,0,36739,28860,55,0.79,0.61,0.4,0.24,0,0.19,0.03,0.01,0.14,5234,TX,1,-97.936392,29.889202,Semester,470,560,560,460,23
2015,Texas State University,6,187,164,161,53,187,0,0,0,228459,Public,4-year,32248,21328,21328,21328,21328,32248,16458,16458,27378,0.71,78,33480,27369,0.09,0.33,0.02,0.5,0.02,0.49,0.35,0.09,0.98,0.02,0,37979,29959,53,0.8,0.58,0.44,0.24,0,0.19,0.04,0.01,0.08,5254,TX,1,-97.936392,29.889202,Semester,470,560,560,460,23
2016,Texas State University,9,134,198,117,36,134,0,0,0,228459,Public,4-year,33019,21595,21595,21595,21595,33019,16715,16715,28139,0.71,77,34244,28180,0.09,0.35,0.02,0.48,0.02,0.47,0.36,0.1,0.98,0.02,0,38808,30866,54,0.81,0.62,0.45,0.26,0,0.2,0.02,0.01,0.06,5060,TX,1,-97.936392,29.889202,Semester,470,560,560,460,23
2017,Texas State University,2,171,241,29,11,171,0,0.13150684931506848,0,228459,Public,4-year,34245,22625,22625,22625,22625,34245,15545,15545,27165,0.73,78,34180,28019,0.1,0.36,0.02,0.47,0.02,0.46,0.37,0.1,0.98,0.02,0,38666,30599,54,0.77,0.61,0.32,0.19,0,0.15,0.01,0.01,0.32,5609,TX,1,-97.943029,29.888885,Semester,510,590,610,510,22
2018,Texas State University,4,126,182,3,3,126,0,0.15342465753424658,0,228459,Public,4-year,34750,23130,23130,23130,23130,34750,15920,15920,27540,0.78,77,34187,28042,0.1,0.37,0.03,0.45,0.02,0.44,0.38,0.1,0.98,0.02,0,38644,30584,55,0.76,0.6,0.43,0.27,0,0.21,0.02,0.02,0.04,6197,TX,1,-97.943029,29.888885,Semester,500,580,600,510,22
2019,Texas State University,10,78,128,76,40,78,0,0,0,228459,Public,4-year,35607,23791,23791,23791,23791,35607,16371,16371,28187,0.81,76,33917,27923,0.09,0.38,0.03,0.44,0.03,0.43,0.4,0.09,0.97,0.02,0,38187,30405,54,NA,NA,0.43,0.27,0,0.21,0.02,0.03,0.03,6292,NA,NA,-97.943029,29.888885,Semester,500,580,600,510,21
2014,The University of Texas at Austin,10,279,75,474,34,279,0,0,0,228778,Public,4-year,51352,26346,26346,26346,26346,51352,14890,14890,39896,0.4,94,39523,36309,0.04,0.19,0.16,0.47,0.19,0.46,0.22,0.04,0.89,0.07,0.04,51313,46993,81,0.63,0.36,0.15,0.1,0,0.15,0.08,0.17,0.36,71547,TX,1,-97.739429,30.286604,Semester,600,720,690,570,17
2015,The University of Texas at Austin,9,303,89,378,56,303,0,0,0,228778,Public,4-year,51192,26322,26322,26322,26322,51192,14866,14866,39736,0.39,95,39619,36565,0.04,0.2,0.17,0.45,0.2,0.44,0.22,0.04,0.87,0.08,0.05,50950,47007,80,0.64,0.34,0.19,0.13,0,0.21,0.1,0.01,0.37,72524,TX,1,-97.73924,30.286598,Semester,600,720,690,570,18
2016,The University of Texas at Austin,NA,NA,NA,NA,NA,NA,NA,0,NA,228778,Public,4-year,50724,25134,25134,25134,25134,50724,15064,15064,40654,0.4,95,40168,37234,0.04,0.2,0.18,0.43,0.21,0.42,0.23,0.04,0.88,0.07,0.05,51331,47516,81,0.64,0.37,0.16,0.12,0,0.19,0.09,0.05,0.38,73622,TX,1,-97.739291,30.28609,Semester,580,730,680,560,18
2017,The University of Texas at Austin,19,488,254,373,52,488,0,0,0,228778,Public,4-year,51786,25440,25440,25440,25440,51786,15370,15370,41716,0.36,95,40492,37740,0.04,0.2,0.18,0.42,0.21,0.42,0.23,0.04,0.88,0.08,0.04,51525,47980,83,0.65,0.43,0.14,0.1,0,0.19,0.08,0.16,0.33,79358,TX,1,-97.738273,30.282825,Semester,600,740,720,620,18
2018,The University of Texas at Austin,15,335,159,290,52,335,0,0,0,228778,Public,4-year,53476,26506,26506,26506,26506,53476,15702,15702,42672,0.39,95,40804,38097,0.04,0.21,0.19,0.41,0.22,0.4,0.23,0.04,0.89,0.08,0.03,51832,48542,83,0.67,0.39,0.15,0.11,0,0.19,0.08,0.15,0.32,86293,TX,1,-97.738273,30.282825,Semester,610,760,720,620,18
2019,The University of Texas at Austin,4,100,41,221,32,100,0,0,0,228778,Public,4-year,55230,27728,27728,27728,27728,55230,15916,15916,43418,0.32,96,40163,37515,0.04,0.22,0.19,0.4,0.23,0.39,0.24,0.04,0.9,0.07,0.03,51090,47910,86,NA,NA,0.15,0.11,0,0.18,0.09,0.12,0.34,90709,NA,NA,-97.738273,30.282825,Semester,610,760,720,620,19
2014,Tufts University,2,4,1,69,14,4,0,0,1,168148,Private not-for-profit,4-year,63400,63400,63400,55900,55900,55900,50766,50766,50766,0.17,97,5177,5127,0.03,0.05,0.12,0.54,0.11,0.57,0.07,0.04,0.21,0.7,0.09,10907,10019,92,0.5,0.28,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,-71.120641,42.406004,Semester,680,760,760,680,9
2015,Tufts University,5,2,9,73,19,2,2,0,4,168148,Private not-for-profit,4-year,65900,65900,65900,65901,65901,65901,58300,58300,58300,0.16,97,5290,5215,0.03,0.06,0.12,0.55,0.11,0.58,0.06,0.04,NA,NA,NA,11137,10180,93,0.43,0.22,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,-71.121689,42.406994,Semester,690,770,750,680,9
2016,Tufts University,7,0,4,74,21,0,1,0.12568306010928962,3,168148,Private not-for-profit,4-year,68190,68190,68190,68190,68190,68190,58996,58996,58996,0.14,96,5508,5435,0.04,0.06,0.13,0.54,0.12,0.56,0.07,0.04,0.2,0.69,0.12,11489,10545,92,0.45,0.22,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,-71.120316,42.408465,Semester,690,770,750,680,8
2017,Tufts University,2,3,2,52,5,3,5,0.049315068493150684,1,168148,Private not-for-profit,4-year,70600,70600,70600,70600,70600,70600,62500,62500,62500,0.15,96,5541,5483,0.04,0.07,0.13,0.54,0.12,0.56,0.07,0.04,0.19,0.7,0.11,11449,10598,93,0.45,0.22,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,-71.120316,42.408465,Semester,710,780,760,700,9
2018,Tufts University,1,0,1,44,8,0,2,0,0,168148,Private not-for-profit,4-year,73500,73500,73500,73500,73500,73500,65100,65100,65100,0.15,96,5643,5508,0.04,0.07,0.13,0.54,0.13,0.55,0.07,0.04,0.2,0.68,0.12,11586,10718,93,0.45,0.21,NA,NA,NA,NA,NA,NA,NA,NA,MA,1,-71.118293,42.40855,Semester,700,780,750,680,9
2019,Tufts University,1,1,2,47,6,1,1,0,0,168148,Private not-for-profit,4-year,76200,76200,76200,76200,76200,76200,67500,67500,67500,0.15,96,5907,5742,0.05,0.07,0.14,0.52,0.14,0.53,0.07,0.04,0.2,0.65,0.15,11878,10919,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-71.118293,42.40855,Semester,710,790,750,680,9
2014,University at Buffalo,12,36,37,319,27,36,0,0,6,196088,Public,4-year,38335,24915,24915,23735,23735,37155,13565,13565,26985,0.58,88,19882,18166,0.06,0.05,0.11,0.48,0.14,0.48,0.06,0.07,0.83,0.03,0.14,29995,24588,72,0.77,0.51,0.26,0.45,0,0.19,0.05,0,0.05,21745,NY,1,-78.790103,43.001433,Semester,550,650,600,500,13
2015,University at Buffalo,13,25,20,308,41,25,0,0,10,196088,Public,4-year,40798,25718,25718,24637,24637,39717,14035,14035,29115,0.6,88,19953,18452,0.06,0.05,0.12,0.48,0.14,0.48,0.06,0.07,0.85,0.03,0.12,29796,24846,74,0.77,0.52,0.27,0.44,0,0.19,0.06,0,0.04,23113,NY,1,-78.790103,43.001433,Semester,550,650,610,510,13
2016,University at Buffalo,14,27,18,277,29,27,0,0,12,196088,Public,4-year,42729,25489,25489,25516,25516,42756,14275,14275,31515,0.59,86,20412,18824,0.06,0.06,0.12,0.47,0.14,0.48,0.07,0.07,0.84,0.02,0.14,30184,25178,74,0.82,0.53,0.28,0.43,0,0.19,0.05,0,0.05,20847,NY,1,-78.789458,43.000942,Semester,550,660,610,520,13
2017,University at Buffalo,11,12,20,254,35,12,0,0,9,196088,Public,4-year,43398,26158,26158,26230,26230,43470,13753,13753,30993,0.57,87,21020,19401,0.06,0.06,0.12,0.47,0.14,0.47,0.07,0.08,0.86,0.02,0.11,30648,25707,75,0.83,0.54,0.28,0.42,0,0.18,0.04,0,0.07,22625,NY,1,-78.789458,43.000942,Semester,560,650,610,520,13
2018,University at Buffalo,16,21,16,210,26,21,0,0,15,196088,Public,4-year,45428,27758,27758,27758,27758,45428,14035,14035,31705,0.56,87,21607,19941,0.07,0.06,0.13,0.47,0.15,0.47,0.07,0.08,0.87,0.02,0.11,31503,26475,76,0.84,0.53,0.27,0.43,0,0.2,0.05,0,0.05,24403,NY,1,-78.789458,43.000942,Semester,590,680,650,570,13
2019,University at Buffalo,16,22,12,213,17,22,0,0.3589041095890411,14,196088,Public,4-year,46336,28666,28666,28666,28666,46336,14532,14532,32202,0.61,86,21921,20401,0.07,0.06,0.13,0.47,0.15,0.47,0.07,0.08,0.87,0.02,0.11,31923,26762,75,NA,NA,0.25,0.44,0,0.19,0.06,0.01,0.05,26043,NA,NA,-78.789458,43.000942,Semester,590,690,650,570,14
2014,University of Arizona,18,529,242,614,40,529,0,0,11,104179,Public,4-year,43621,25157,25157,27657,27657,46121,15457,15457,33921,0.75,82,32987,29450,0.03,0.22,0.06,0.52,0.06,0.53,0.25,0.04,0.58,0.38,0.03,42236,36501,60,0.85,0.42,0.3,0.18,0,0.25,0.11,0.03,0.14,19520,AZ,1,-110.950769,32.232071,Semester,NA,NA,NA,NA,20
2015,University of Arizona,22,413,299,548,36,413,0,0,12,104179,Public,4-year,46970,25743,25743,28103,28103,49330,15903,15903,37130,0.76,80,33331,29597,0.04,0.23,0.06,0.52,0.06,0.52,0.25,0.04,0.52,0.4,0.06,42595,36607,61,0.83,0.37,0.3,0.16,0,0.21,0.14,0,0.18,19353,AZ,1,-110.950769,32.232071,Semester,NA,NA,NA,NA,22
2016,University of Arizona,29,444,269,550,50,444,0,0,16,104179,Public,4-year,50367,27169,27169,29069,29069,52267,15869,15869,39067,0.79,80,33694,29149,0.04,0.23,0.06,0.51,0.05,0.51,0.26,0.04,0.55,0.38,0.06,43161,36054,60,0.86,0.37,0.33,0.14,0,0.21,0.18,0.01,0.13,18359,AZ,1,-110.950815,32.232672,Semester,NA,NA,NA,NA,20
2017,University of Arizona,29,401,288,534,63,401,0,0,12,104179,Public,4-year,51707,28277,28277,30177,30177,53607,15977,15977,39407,0.84,83,34101,29325,0.04,0.24,0.06,0.5,0.05,0.5,0.27,0.04,NA,NA,NA,43751,36449,63,0.92,0.36,0.34,0.14,0,0.21,0.15,0.02,0.14,20342,AZ,1,-110.950815,32.232672,Semester,NA,NA,NA,NA,15
2018,University of Arizona,28,265,220,537,53,265,0,0,10,104179,Public,4-year,53116,29217,29217,29317,29317,53216,16667,16667,40566,0.84,81,34153,29027,0.04,0.24,0.05,0.49,0.05,0.5,0.27,0.04,0.55,0.4,0.03,44097,36213,64,0.91,0.35,0.34,0.15,0,0.22,0.14,0.02,0.14,22906,AZ,1,-110.950815,32.232672,Semester,530,660,650,540,15
2019,University of Arizona,0,0,0,0,0,0,0,0,0,104179,Public,4-year,54068,30041,30061,29661,29641,53668,17011,16991,41018,0.85,83,34516,28972,0.04,0.24,0.06,0.49,0.05,0.49,0.27,0.04,0.54,0.4,0.05,44577,36226,65,NA,NA,0.33,0.14,0,0.24,0.13,0.02,0.13,24153,NA,NA,-110.950815,32.232672,Semester,550,690,670,560,15
2014,University of Arkansas,5,278,110,283,34,278,0,0,3,106397,Public,4-year,35156,23066,23066,23066,23066,35156,13612,13612,25702,0.62,83,21836,19243,0.05,0.06,0.02,0.76,0.03,0.77,0.07,0.05,0.52,0.47,0.02,26237,21047,62,0.79,0.42,0.25,0.31,0,0.18,0.15,0.02,0.1,39882,AR,1,-94.178214,36.06153,Semester,510,620,610,500,19
2015,University of Arkansas,11,278,118,215,12,278,0,0,8,106397,Public,4-year,36810,23506,23506,23506,23506,36810,13626,13626,26930,0.6,82,22159,19607,0.05,0.07,0.02,0.75,0.02,0.77,0.07,0.05,0.49,0.49,0.02,26754,21415,62,0.77,0.42,0.27,0.3,0,0.18,0.14,0.01,0.1,39672,AR,1,-94.178214,36.06153,Semester,510,620,600,500,19
2016,University of Arkansas,6,267,96,255,20,267,0,0,5,106397,Public,4-year,38650,24302,24302,24302,24302,38650,13970,13970,28318,0.63,82,22548,19853,0.05,0.08,0.02,0.75,0.02,0.76,0.08,0.05,0.49,0.5,0.01,27194,21668,64,0.76,0.43,0.3,0.3,0,0.18,0.15,0,0.07,37010,AR,1,-94.176981,36.070009,Semester,510,620,600,500,18
2017,University of Arkansas,7,165,77,270,20,165,0,0,4,106397,Public,4-year,40162,24916,24916,24916,24916,40162,14212,14212,29458,0.66,82,23044,20464,0.05,0.08,0.02,0.74,0.02,0.76,0.09,0.04,0.49,0.5,0.01,27558,22144,62,0.77,0.42,0.3,0.27,0,0.19,0.15,0.02,0.08,40641,AR,1,-94.176981,36.070009,Semester,550,640,640,560,18
2018,University of Arkansas,11,173,84,196,18,172,0,0,7,106397,Public,4-year,41538,25500,25500,25500,25500,41538,14480,14480,30518,0.77,84,23386,21005,0.04,0.08,0.02,0.74,0.02,0.76,0.09,0.04,0.5,0.49,0.01,27778,22602,66,0.76,0.43,0.28,0.24,0,0.18,0.13,0.01,0.15,47467,AR,1,-94.176981,36.070009,Semester,540,640,650,560,18
2019,University of Arkansas,7,186,85,203,32,186,0,0,3,106397,Public,4-year,42632,26144,26144,26144,26144,42632,14814,14814,31302,0.77,84,23025,20559,0.04,0.09,0.02,0.74,0.03,0.75,0.09,0.04,0.52,0.47,0.01,27559,22193,66,NA,NA,0.3,0.25,0,0.2,0.12,0.02,0.11,48372,NA,NA,-94.176981,36.070009,Semester,550,650,650,570,18
2014,University of California-Berkeley,21,83,170,900,195,83,0,0,7,110635,Public,4-year,57234,34356,34356,28900,28900,51778,24685,24685,47563,0.16,96,27126,26320,0.02,0.12,0.3,0.31,0.35,0.28,0.14,0.02,0.69,0.16,0.15,37565,35481,91,0.67,0.28,0.27,0.13,0,0.28,0.08,0.02,0.23,43215,CA,1,-122.260401,37.871519,Semester,640,770,730,600,17
2015,University of California-Berkeley,19,64,90,661,154,64,0,0,7,110635,Public,4-year,59963,35255,35255,29885,29885,54593,25643,25643,50351,0.17,96,27496,26622,0.02,0.12,0.3,0.3,0.35,0.27,0.14,0.02,0.7,0.16,0.14,38189,35960,92,0.63,0.25,0.27,0.13,0,0.21,0.15,0.03,0.21,46307,CA,1,-122.260423,37.871969,Semester,640,770,740,610,17
2016,University of California-Berkeley,32,43,58,633,175,43,0,0.0273224043715847,11,110635,Public,4-year,63051,36369,36369,30473,30473,57155,25998,25998,52680,0.17,97,29310,28108,0.02,0.13,0.3,0.29,0.35,0.26,0.15,0.02,0.76,0.14,0.1,40154,37321,92,0.6,0.21,0.32,0.15,0,0.21,0.17,0.05,0.1,42900,CA,1,-122.260463,37.871918,Semester,650,790,750,620,18
2017,University of California-Berkeley,8,4,21,289,30,4,0,0,4,110635,Public,4-year,65003,36989,36989,33247,33247,61261,26799,26799,54813,0.17,97,30574,29351,0.02,0.14,0.29,0.29,0.35,0.26,0.15,0.02,0.69,0.18,0.12,41891,38952,91,0.6,0.21,0.33,0.16,0,0.2,0.18,0.05,0.08,46413,CA,1,-122.260463,37.871918,Semester,630,760,720,630,18
2018,University of California-Berkeley,43,18,40,833,58,18,0,0,10,110635,Public,4-year,67058,38066,38066,34296,34296,63288,27474,27474,56466,0.15,97,30853,29570,0.02,0.13,0.29,0.27,0.35,0.25,0.15,0.02,0.72,0.14,0.14,42501,39393,91,0.63,0.23,0.33,0.14,0,0.18,0.18,0.05,0.13,47432,CA,1,-122.260463,37.871918,Semester,670,790,740,650,20
2019,University of California-Berkeley,25,9,22,437,45,9,0,0,6,110635,Public,4-year,69130,39376,39376,35253,35253,65007,28148,28148,57902,0.16,97,31348,29991,0.02,0.14,0.3,0.27,0.36,0.24,0.16,0.02,0.72,0.14,0.14,43185,39950,93,NA,NA,0.34,0.16,0,0.18,0.19,0.05,0.08,49178,NA,NA,-122.260463,37.871918,Semester,680,790,740,650,19
2014,University of California-Irvine,10,181,70,385,44,181,0,0,4,110653,Public,4-year,54455,31577,31577,29256,29256,52134,24603,24603,47481,0.37,92,24489,24141,0.02,0.21,0.36,0.2,0.41,0.16,0.24,0.02,0.81,0.03,0.16,30051,29273,86,0.74,0.44,0.24,0.14,0,0.22,0.02,0.01,0.37,10011,CA,1,-117.841248,33.648434,Quarter,550,690,600,480,19
2015,University of California-Irvine,30,87,58,490,68,87,1,0,6,110653,Public,4-year,56810,32102,32102,29575,29575,54283,24889,24889,49597,0.39,93,25256,24854,0.02,0.22,0.34,0.19,0.37,0.15,0.25,0.02,0.74,0.04,0.22,30836,30052,88,0.68,0.41,0.31,0.18,0,0.18,0.07,0.01,0.24,11061,CA,1,-117.841248,33.648434,Quarter,550,690,600,480,19
2016,University of California-Irvine,45,110,95,467,61,110,0,0,14,110653,Public,4-year,59612,32930,32930,30323,30323,57005,25416,25416,52098,0.41,92,27331,26889,0.02,0.24,0.33,0.17,0.36,0.14,0.26,0.02,0.74,0.02,0.24,32754,31981,87,0.65,0.36,0.28,0.17,0,0.16,0.06,0.03,0.3,10036,CA,1,-117.841248,33.648434,Quarter,570,710,620,490,18
2017,University of California-Irvine,31,89,65,548,49,89,0,0,6,110653,Public,4-year,61872,33858,33858,31896,31896,59910,25999,25999,54013,0.37,94,29307,28855,0.02,0.24,0.32,0.17,0.36,0.14,0.26,0.02,0.79,0.02,0.19,35242,34452,85,0.68,0.38,0.31,0.19,0,0.16,0.07,0.02,0.26,10798,CA,1,-117.841248,33.648434,Quarter,590,700,650,580,18
2018,University of California-Irvine,29,46,91,547,87,46,2,0,15,110653,Public,4-year,63253,34261,34261,32455,32455,61447,26266,26266,55258,0.29,93,29736,29251,0.02,0.23,0.33,0.16,0.36,0.13,0.26,0.02,0.78,0.02,0.2,36032,35200,83,0.63,0.33,0.3,0.15,0,0.16,0.07,0.02,0.29,12269,CA,1,-117.841248,33.648434,Quarter,610,740,670,580,18
2019,University of California-Irvine,25,39,57,493,33,39,3,0,7,110653,Public,4-year,65117,35363,35363,33162,33162,62916,26750,26750,56504,0.27,94,30382,29797,0.02,0.23,0.33,0.16,0.36,0.13,0.26,0.02,0.77,0.02,0.2,36908,35936,84,NA,NA,0.33,0.18,0,0.16,0.08,0.03,0.23,12779,NA,NA,-117.841248,33.648434,Quarter,600,750,670,570,18
